# Egeblad & Pisinger ep3 instance ep3-60-C-R-50, converted from ep3-60-C-R-50.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 60 (52 distinct types)
# Total profit if all packed: 444338
# Total box volume: 16810140   Container volume: 8346562   (ratio 2.014)

BOXES
1 1 29 29 29 841
2 1 67 67 67 13467
3 1 85 85 85 7225
4 2 93 93 93 8649
5 1 19 19 19 361
6 1 7 7 7 147
7 1 2 2 2 4
8 2 88 88 88 15488
9 1 59 59 59 3481
10 1 9 9 9 162
11 1 52 52 52 8112
12 2 84 84 84 21168
13 1 61 61 61 3721
14 2 81 81 81 19683
15 1 16 16 16 256
16 1 84 84 84 14112
17 1 92 92 92 25392
18 1 12 12 12 432
19 1 15 15 15 675
20 1 61 61 61 11163
21 1 25 25 25 625
22 1 4 4 4 32
23 1 36 36 36 1296
24 1 39 39 39 4563
25 1 87 87 87 22707
26 1 80 80 80 6400
27 2 32 32 32 3072
28 1 52 52 52 5408
29 1 58 58 58 3364
30 1 13 13 13 169
31 1 46 46 46 2116
32 2 32 32 32 2048
33 1 80 80 80 12800
34 1 73 73 73 10658
35 1 38 38 38 4332
36 1 90 90 90 24300
37 1 51 51 51 5202
38 1 14 14 14 392
39 1 45 45 45 4050
40 1 100 100 100 10000
41 2 25 25 25 1250
42 1 43 43 43 5547
43 2 92 92 92 16928
44 1 80 80 80 19200
45 1 54 54 54 2916
46 1 26 26 26 1352
47 1 20 20 20 800
48 1 71 71 71 10082
49 1 99 99 99 19602
50 1 3 3 3 27
51 1 10 10 10 200
52 1 5 5 5 75

CONTAINERS
1 1 161 161 322
