# Egeblad & Pisinger ep3 instance ep3-60-D-R-50, converted from ep3-60-D-R-50.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 60 (60 distinct types)
# Total profit if all packed: 77351
# Total box volume: 1238159   Container volume: 606015   (ratio 2.043)

BOXES
1 1 30 1 19 60
2 1 48 36 35 3456
3 1 36 40 41 2880
4 1 50 39 39 1950
5 1 22 14 50 308
6 1 11 13 49 429
7 1 38 21 46 1596
8 1 38 4 2 456
9 1 3 30 21 90
10 1 19 13 6 494
11 1 41 17 31 1394
12 1 21 28 45 1764
13 1 20 48 43 960
14 1 40 43 39 5160
15 1 34 15 14 1020
16 1 31 25 39 2325
17 1 24 27 25 1944
18 1 47 28 47 3948
19 1 27 12 40 972
20 1 50 20 19 2000
21 1 7 35 39 490
22 1 24 34 42 1632
23 1 15 6 36 270
24 1 24 16 25 768
25 1 24 22 16 528
26 1 46 16 39 2208
27 1 31 19 37 1767
28 1 30 28 50 840
29 1 12 9 2 108
30 1 31 11 1 682
31 1 25 16 5 1200
32 1 8 49 48 784
33 1 29 2 37 174
34 1 2 36 18 144
35 1 33 21 35 1386
36 1 37 34 26 2516
37 1 20 44 22 1760
38 1 33 44 34 4356
39 1 11 42 33 462
40 1 29 38 19 2204
41 1 36 49 1 5292
42 1 41 22 25 902
43 1 1 30 37 60
44 1 23 7 42 483
45 1 1 39 15 39
46 1 20 17 24 680
47 1 2 34 34 136
48 1 5 48 41 720
49 1 41 27 35 1107
50 1 11 28 29 616
51 1 48 46 50 2208
52 1 20 12 15 240
53 1 33 47 47 3102
54 1 14 25 3 350
55 1 13 12 28 468
56 1 34 7 27 714
57 1 10 47 8 940
58 1 35 3 39 105
59 1 15 44 2 660
60 1 18 29 43 1044

CONTAINERS
1 1 67 67 135
