# Egeblad & Pisinger ep3 instance ep3-60-U-R-50, converted from ep3-60-U-R-50.3kp
# Source: Egeblad, J. & Pisinger, D. (2009), "Heuristic approaches for
# the two- and three-dimensional knapsack packing problem",
# Computers & Operations Research 36(4):1026-1049. Data set kp2d3d-data/ep3.
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column holds the ORIGINAL ep3 profit p of the box,
# not a per-volume coefficient: ep3 profits are not proportional to volume.
# Run these instances with --value-mode flat so that value = coefficient.
# Under the default --value-mode volume the objective would be p * volume,
# which is NOT the ep3 objective. The solvers read the machine-readable
# declaration below and warn if run with the wrong mode.
#! value-mode: flat
#
# Boxes: 60 (60 distinct types)
# Total profit if all packed: 661663
# Total box volume: 25236341   Container volume: 12492864   (ratio 2.020)

BOXES
1 1 99 50 98 9900
2 1 68 83 83 5644
3 1 59 85 59 10030
4 1 53 83 77 8798
5 1 65 68 87 4420
6 1 51 83 97 12699
7 1 54 77 58 8316
8 1 67 100 97 6700
9 1 64 94 86 18048
10 1 93 80 80 22320
11 1 81 62 52 15066
12 1 67 83 69 5561
13 1 54 86 97 13932
14 1 95 75 77 7125
15 1 96 50 78 14400
16 1 67 74 67 9916
17 1 98 97 74 19012
18 1 75 77 81 5775
19 1 96 89 51 25632
20 1 59 57 86 10089
21 1 58 57 76 6612
22 1 82 64 81 10496
23 1 95 75 91 21375
24 1 64 70 94 8960
25 1 87 84 60 14616
26 1 70 93 89 13020
27 1 87 83 98 21663
28 1 50 68 80 3400
29 1 90 74 85 13320
30 1 99 60 74 11880
31 1 57 84 65 4788
32 1 72 63 71 13608
33 1 86 99 93 25542
34 1 63 83 81 5229
35 1 79 51 53 12087
36 1 70 69 72 4830
37 1 69 86 93 5934
38 1 92 80 96 7360
39 1 85 52 79 4420
40 1 96 65 70 6240
41 1 50 96 52 4800
42 1 91 71 76 6461
43 1 72 50 86 7200
44 1 67 73 63 4891
45 1 76 51 88 3876
46 1 78 70 53 5460
47 1 84 65 71 16380
48 1 87 71 56 12354
49 1 69 98 86 20286
50 1 85 87 95 14790
51 1 75 52 56 11700
52 1 57 92 56 10488
53 1 71 74 51 15762
54 1 64 76 58 9728
55 1 82 71 63 11644
56 1 72 95 50 6840
57 1 78 60 64 9360
58 1 88 82 84 14432
59 1 52 69 94 7176
60 1 88 73 59 19272

CONTAINERS
1 1 184 184 369
