Instance: instance08
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 175 (6 types)
Containers: 5 (3 types)

Runtime: 120.01 s
Packed value (SA incumbent / lower bound): 65864.0
Continuous-knapsack bound: 77986.8
Gap to that bound: 15.54%
Greedy (initial decode) value: 60661.2
SA improvement over greedy: +5202.8

SA parameters and statistics:
  T0: 3033.06
  alpha: 0.999, reheat threshold: 5753
  iterations: 38314 (319 it/s)
  accepted: 24772, rejected: 13541, no-move draws: 0, reheats: 4
  seed: 1
  verification: ok

Boxes packed: 108 / 175
Volume utilization: 38952 / 41120 = 94.7%

Container 0 (type 1, 17x16x20): 22 boxes, value 9104.4, utilization 96.7%
Container 1 (type 1, 17x16x20): 16 boxes, value 8750.0, utilization 95.7%
Container 2 (type 2, 23x18x30): 28 boxes, value 19776.4, utilization 95.7%
Container 3 (type 2, 23x18x30): 29 boxes, value 19810.8, utilization 93.6%
Container 4 (type 3, 15x12x30): 13 boxes, value 8422.4, utilization 92.0%

Placements (box, type, container, position, oriented dims):
  box    3 type 1 -> container 2 pos (10, 10, 24) dims (11, 8, 6)
  box    4 type 1 -> container 1 pos (11, 8, 0) dims (6, 8, 11)
  box   11 type 1 -> container 1 pos (11, 0, 0) dims (6, 8, 11)
  box   13 type 1 -> container 2 pos (0, 0, 22) dims (6, 11, 8)
  box   37 type 3 -> container 0 pos (11, 0, 0) dims (4, 7, 13)
  box   38 type 3 -> container 1 pos (11, 0, 11) dims (4, 13, 7)
  box   39 type 3 -> container 3 pos (0, 11, 13) dims (4, 7, 13)
  box   40 type 3 -> container 2 pos (6, 0, 22) dims (4, 13, 7)
  box   41 type 3 -> container 3 pos (0, 11, 0) dims (4, 7, 13)
  box   42 type 3 -> container 0 pos (11, 0, 13) dims (4, 13, 7)
  box   43 type 3 -> container 3 pos (10, 10, 25) dims (13, 7, 4)
  box   44 type 3 -> container 2 pos (0, 14, 0) dims (7, 4, 13)
  box   45 type 3 -> container 3 pos (4, 11, 13) dims (4, 7, 13)
  box   47 type 3 -> container 2 pos (0, 14, 13) dims (7, 4, 13)
  box   48 type 3 -> container 0 pos (11, 7, 0) dims (4, 7, 13)
  box   49 type 3 -> container 3 pos (4, 11, 0) dims (4, 7, 13)
  box   54 type 4 -> container 3 pos (10, 10, 0) dims (12, 8, 13)
  box   55 type 4 -> container 2 pos (10, 10, 12) dims (13, 8, 12)
  box   70 type 4 -> container 2 pos (10, 10, 0) dims (13, 8, 12)
  box   72 type 4 -> container 4 pos (0, 0, 0) dims (13, 12, 8)
  box   73 type 4 -> container 3 pos (10, 10, 13) dims (13, 8, 12)
  box   74 type 5 -> container 4 pos (0, 0, 19) dims (14, 10, 11)
  box   76 type 5 -> container 2 pos (0, 0, 11) dims (10, 14, 11)
  box   77 type 5 -> container 3 pos (0, 0, 0) dims (10, 11, 14)
  box   78 type 5 -> container 2 pos (10, 0, 14) dims (11, 10, 14)
  box   80 type 5 -> container 4 pos (0, 0, 8) dims (14, 10, 11)
  box   81 type 5 -> container 0 pos (0, 0, 10) dims (11, 14, 10)
  box   83 type 5 -> container 3 pos (0, 0, 14) dims (10, 11, 14)
  box   84 type 5 -> container 1 pos (0, 0, 10) dims (11, 14, 10)
  box   85 type 5 -> container 3 pos (10, 0, 0) dims (11, 10, 14)
  box   86 type 5 -> container 3 pos (10, 0, 14) dims (11, 10, 14)
  box   87 type 5 -> container 2 pos (0, 0, 0) dims (10, 14, 11)
  box   90 type 5 -> container 0 pos (0, 0, 0) dims (11, 14, 10)
  box   91 type 5 -> container 2 pos (10, 0, 0) dims (11, 10, 14)
  box   94 type 5 -> container 1 pos (0, 0, 0) dims (11, 14, 10)
  box   95 type 6 -> container 0 pos (4, 14, 12) dims (4, 2, 8)
  box   96 type 6 -> container 3 pos (21, 0, 24) dims (2, 8, 4)
  box   97 type 6 -> container 0 pos (15, 8, 0) dims (2, 8, 4)
  box   98 type 6 -> container 3 pos (21, 0, 12) dims (2, 8, 4)
  box  101 type 6 -> container 2 pos (21, 8, 24) dims (2, 8, 4)
  box  102 type 6 -> container 3 pos (21, 4, 16) dims (2, 4, 8)
  box  104 type 6 -> container 1 pos (15, 0, 11) dims (2, 8, 4)
  box  105 type 6 -> container 2 pos (21, 0, 20) dims (2, 8, 4)
  box  107 type 6 -> container 3 pos (4, 4, 28) dims (8, 4, 2)
  box  108 type 6 -> container 0 pos (15, 0, 8) dims (2, 8, 4)
  box  109 type 6 -> container 4 pos (4, 10, 20) dims (4, 2, 8)
  box  111 type 6 -> container 4 pos (4, 10, 12) dims (4, 2, 8)
  box  112 type 6 -> container 3 pos (0, 13, 26) dims (8, 2, 4)
  box  113 type 6 -> container 3 pos (0, 15, 26) dims (8, 2, 4)
  box  114 type 6 -> container 2 pos (21, 0, 4) dims (2, 4, 8)
  box  115 type 6 -> container 0 pos (4, 14, 4) dims (4, 2, 8)
  box  116 type 6 -> container 2 pos (21, 0, 16) dims (2, 8, 4)
  box  117 type 6 -> container 4 pos (0, 10, 8) dims (8, 2, 4)
  box  118 type 6 -> container 1 pos (15, 0, 15) dims (2, 8, 4)
  box  119 type 6 -> container 1 pos (11, 0, 18) dims (4, 8, 2)
  box  120 type 6 -> container 0 pos (15, 0, 4) dims (2, 8, 4)
  box  121 type 6 -> container 2 pos (21, 4, 4) dims (2, 4, 8)
  box  122 type 6 -> container 3 pos (12, 0, 28) dims (4, 8, 2)
  box  123 type 6 -> container 0 pos (8, 14, 0) dims (4, 2, 8)
  box  124 type 6 -> container 3 pos (21, 0, 16) dims (2, 4, 8)
  box  126 type 6 -> container 3 pos (8, 11, 8) dims (2, 4, 8)
  box  127 type 6 -> container 4 pos (13, 0, 4) dims (2, 8, 4)
  box  128 type 6 -> container 0 pos (15, 8, 4) dims (2, 8, 4)
  box  129 type 6 -> container 0 pos (0, 14, 0) dims (8, 2, 4)
  box  130 type 6 -> container 0 pos (15, 0, 0) dims (2, 8, 4)
  box  131 type 6 -> container 0 pos (15, 8, 8) dims (2, 4, 8)
  box  132 type 6 -> container 0 pos (15, 12, 8) dims (2, 4, 8)
  box  133 type 6 -> container 4 pos (13, 0, 0) dims (2, 8, 4)
  box  134 type 6 -> container 3 pos (4, 0, 28) dims (8, 4, 2)
  box  135 type 6 -> container 4 pos (0, 10, 12) dims (4, 2, 8)
  box  136 type 6 -> container 4 pos (8, 10, 8) dims (4, 2, 8)
  box  137 type 6 -> container 0 pos (0, 14, 4) dims (4, 2, 8)
  box  138 type 6 -> container 3 pos (21, 0, 0) dims (2, 8, 4)
  box  139 type 6 -> container 1 pos (0, 14, 8) dims (4, 2, 8)
  box  140 type 6 -> container 2 pos (7, 14, 16) dims (2, 4, 8)
  box  141 type 6 -> container 2 pos (0, 14, 26) dims (8, 2, 4)
  box  142 type 6 -> container 2 pos (0, 11, 22) dims (4, 2, 8)
  box  143 type 6 -> container 2 pos (21, 0, 12) dims (2, 8, 4)
  box  144 type 6 -> container 4 pos (8, 10, 16) dims (4, 2, 8)
  box  145 type 6 -> container 2 pos (0, 16, 26) dims (8, 2, 4)
  box  146 type 6 -> container 0 pos (15, 0, 12) dims (2, 8, 4)
  box  147 type 6 -> container 3 pos (21, 4, 4) dims (2, 4, 8)
  box  148 type 6 -> container 1 pos (0, 14, 0) dims (4, 2, 8)
  box  149 type 6 -> container 1 pos (15, 12, 11) dims (2, 4, 8)
  box  150 type 6 -> container 3 pos (0, 11, 26) dims (8, 2, 4)
  box  151 type 6 -> container 1 pos (4, 14, 8) dims (4, 2, 8)
  box  152 type 6 -> container 3 pos (0, 0, 28) dims (4, 8, 2)
  box  153 type 6 -> container 2 pos (21, 0, 0) dims (2, 8, 4)
  box  154 type 6 -> container 1 pos (4, 14, 0) dims (4, 2, 8)
  box  155 type 6 -> container 3 pos (8, 11, 0) dims (2, 4, 8)
  box  157 type 6 -> container 2 pos (21, 0, 24) dims (2, 8, 4)
  box  158 type 6 -> container 4 pos (0, 10, 20) dims (4, 2, 8)
  box  159 type 6 -> container 2 pos (7, 14, 8) dims (2, 4, 8)
  box  160 type 6 -> container 1 pos (0, 14, 16) dims (8, 2, 4)
  box  161 type 6 -> container 2 pos (14, 0, 28) dims (8, 4, 2)
  box  162 type 6 -> container 4 pos (13, 8, 0) dims (2, 4, 8)
  box  163 type 6 -> container 0 pos (15, 8, 16) dims (2, 8, 4)
  box  164 type 6 -> container 3 pos (21, 0, 4) dims (2, 4, 8)
  box  165 type 6 -> container 2 pos (10, 0, 28) dims (4, 8, 2)
  box  166 type 6 -> container 1 pos (15, 8, 11) dims (2, 4, 8)
  box  167 type 6 -> container 3 pos (16, 0, 28) dims (4, 8, 2)
  box  168 type 6 -> container 2 pos (14, 4, 28) dims (8, 4, 2)
  box  169 type 6 -> container 0 pos (0, 14, 12) dims (4, 2, 8)
  box  170 type 6 -> container 1 pos (11, 13, 11) dims (4, 2, 8)
  box  171 type 6 -> container 0 pos (15, 0, 16) dims (2, 8, 4)
  box  172 type 6 -> container 0 pos (8, 14, 8) dims (4, 2, 8)
  box  173 type 6 -> container 3 pos (8, 11, 16) dims (2, 4, 8)
  box  174 type 6 -> container 2 pos (7, 14, 0) dims (2, 4, 8)
