Instance: instance08
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 175 (6 types)
Containers: 5 (3 types)

Runtime: 120.00 s
Packed value (SA incumbent / lower bound): 66674.8
Continuous-knapsack bound: 77986.8
Gap to that bound: 14.51%
Greedy (initial decode) value: 60661.2
SA improvement over greedy: +6013.6

SA parameters and statistics:
  T0: 1125.25
  alpha: 0.999, reheat threshold: 5753
  iterations: 36834 (307 it/s)
  accepted: 22803, rejected: 14030, no-move draws: 0, reheats: 5
  seed: 1
  verification: ok

Boxes packed: 112 / 175
Volume utilization: 39508 / 41120 = 96.1%

Container 0 (type 1, 17x16x20): 34 boxes, value 7078.0, utilization 97.9%
Container 1 (type 1, 17x16x20): 13 boxes, value 8572.8, utilization 95.1%
Container 2 (type 2, 23x18x30): 26 boxes, value 21631.2, utilization 96.8%
Container 3 (type 2, 23x18x30): 26 boxes, value 20970.4, utilization 96.7%
Container 4 (type 3, 15x12x30): 13 boxes, value 8422.4, utilization 92.0%

Placements (box, type, container, position, oriented dims):
  box    7 type 1 -> container 0 pos (0, 0, 12) dims (11, 6, 8)
  box    8 type 1 -> container 1 pos (11, 8, 0) dims (6, 8, 11)
  box   15 type 1 -> container 1 pos (11, 0, 11) dims (6, 11, 8)
  box   18 type 1 -> container 1 pos (11, 0, 0) dims (6, 8, 11)
  box   37 type 3 -> container 2 pos (8, 14, 20) dims (13, 4, 7)
  box   38 type 3 -> container 2 pos (14, 14, 0) dims (7, 4, 13)
  box   39 type 3 -> container 2 pos (8, 14, 13) dims (13, 4, 7)
  box   40 type 3 -> container 2 pos (0, 14, 15) dims (7, 4, 13)
  box   41 type 3 -> container 2 pos (7, 14, 0) dims (7, 4, 13)
  box   42 type 3 -> container 0 pos (8, 8, 0) dims (7, 4, 13)
  box   43 type 3 -> container 3 pos (0, 14, 13) dims (7, 4, 13)
  box   44 type 3 -> container 0 pos (4, 12, 13) dims (13, 4, 7)
  box   45 type 3 -> container 0 pos (8, 12, 0) dims (7, 4, 13)
  box   46 type 3 -> container 3 pos (0, 14, 0) dims (7, 4, 13)
  box   47 type 3 -> container 0 pos (4, 8, 0) dims (4, 7, 13)
  box   48 type 3 -> container 0 pos (4, 8, 13) dims (13, 4, 7)
  box   49 type 3 -> container 2 pos (0, 14, 0) dims (7, 4, 13)
  box   52 type 4 -> container 2 pos (11, 0, 22) dims (12, 13, 8)
  box   56 type 4 -> container 3 pos (11, 10, 13) dims (12, 8, 13)
  box   64 type 4 -> container 3 pos (11, 10, 0) dims (12, 8, 13)
  box   70 type 4 -> container 0 pos (0, 0, 0) dims (13, 8, 12)
  box   71 type 4 -> container 4 pos (0, 0, 22) dims (13, 12, 8)
  box   74 type 5 -> container 2 pos (0, 0, 10) dims (11, 14, 10)
  box   75 type 5 -> container 3 pos (0, 0, 20) dims (11, 14, 10)
  box   76 type 5 -> container 3 pos (0, 0, 10) dims (11, 14, 10)
  box   77 type 5 -> container 4 pos (0, 0, 11) dims (14, 10, 11)
  box   82 type 5 -> container 2 pos (11, 0, 11) dims (10, 14, 11)
  box   84 type 5 -> container 1 pos (0, 0, 0) dims (11, 14, 10)
  box   85 type 5 -> container 1 pos (0, 0, 10) dims (11, 14, 10)
  box   86 type 5 -> container 3 pos (11, 0, 0) dims (11, 10, 14)
