Instance: instance14
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 102 (3 types)
Containers: 6 (3 types)

Runtime: 120.00 s
Packed value (SA incumbent / lower bound): 65987.2
Continuous-knapsack bound: 71552.0
Gap to that bound: 7.78%
Greedy (initial decode) value: 60569.6
SA improvement over greedy: +5417.6

SA parameters and statistics:
  T0: 3028.48
  alpha: 0.999, reheat threshold: 5753
  iterations: 188233 (1569 it/s)
  accepted: 113227, rejected: 75005, no-move draws: 0, reheats: 32
  seed: 1
  verification: ok

Boxes packed: 63 / 102
Volume utilization: 38944 / 42560 = 91.5%

Container 0 (type 1, 30x24x12): 12 boxes, value 16416.0, utilization 100.0%
Container 1 (type 1, 30x24x12): 13 boxes, value 15739.2, utilization 96.1%
Container 2 (type 2, 20x20x10): 5 boxes, value 5465.6, utilization 84.8%
Container 3 (type 2, 20x20x10): 5 boxes, value 5465.6, utilization 84.8%
Container 4 (type 3, 18x16x30): 17 boxes, value 11976.0, utilization 91.7%
Container 5 (type 3, 18x16x30): 11 boxes, value 10924.8, utilization 84.4%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 1 pos (20, 12, 6) dims (4, 8, 6)
  box    1 type 1 -> container 4 pos (14, 0, 0) dims (4, 8, 6)
  box    2 type 1 -> container 4 pos (14, 8, 0) dims (4, 8, 6)
  box    3 type 1 -> container 4 pos (14, 0, 6) dims (4, 8, 6)
  box    4 type 1 -> container 4 pos (10, 0, 24) dims (4, 8, 6)
  box    5 type 1 -> container 4 pos (14, 8, 6) dims (4, 8, 6)
  box    6 type 1 -> container 4 pos (14, 0, 12) dims (4, 8, 6)
  box    7 type 1 -> container 4 pos (14, 8, 12) dims (4, 8, 6)
  box    8 type 1 -> container 3 pos (14, 12, 6) dims (6, 8, 4)
  box    9 type 1 -> container 3 pos (14, 12, 0) dims (4, 8, 6)
  box   10 type 1 -> container 2 pos (14, 12, 6) dims (6, 8, 4)
  box   11 type 1 -> container 2 pos (14, 12, 0) dims (4, 8, 6)
  box   12 type 1 -> container 4 pos (0, 12, 24) dims (8, 4, 6)
  box   13 type 1 -> container 4 pos (14, 0, 18) dims (4, 8, 6)
  box   14 type 1 -> container 5 pos (14, 0, 0) dims (4, 8, 6)
  box   15 type 1 -> container 5 pos (14, 8, 0) dims (4, 8, 6)
  box   16 type 1 -> container 4 pos (14, 8, 24) dims (4, 8, 6)
  box   17 type 1 -> container 1 pos (20, 12, 0) dims (4, 8, 6)
  box   18 type 1 -> container 5 pos (14, 0, 6) dims (4, 8, 6)
  box   19 type 1 -> container 4 pos (10, 8, 24) dims (4, 8, 6)
  box   20 type 1 -> container 4 pos (14, 0, 24) dims (4, 8, 6)
