Instance: instance16
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 90 (3 types)
Containers: 3 (3 types)

Runtime: 120.00 s
Packed value (SA incumbent / lower bound): 579367.0
Continuous-knapsack bound: 666829.6
Gap to that bound: 13.12%
Greedy (initial decode) value: 505770.0
SA improvement over greedy: +73597.0

SA parameters and statistics:
  T0: 25288.50
  alpha: 0.999, reheat threshold: 5753
  iterations: 44522 (371 it/s)
  accepted: 15360, rejected: 29161, no-move draws: 0, reheats: 5
  seed: 1
  verification: ok

Boxes packed: 80 / 90
Volume utilization: 364306 / 428962 = 84.9%

Container 0 (type 1, 48x70x32): 20 boxes, value 150310.0, utilization 88.9%
Container 1 (type 2, 57x69x44): 29 boxes, value 222193.0, utilization 83.3%
Container 2 (type 3, 38x71x55): 31 boxes, value 206864.0, utilization 84.0%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 2 pos (0, 54, 18) dims (15, 17, 18)
  box    1 type 1 -> container 0 pos (15, 0, 15) dims (18, 15, 17)
  box    2 type 1 -> container 0 pos (33, 0, 15) dims (15, 18, 17)
  box    3 type 1 -> container 0 pos (18, 18, 0) dims (15, 18, 17)
  box    4 type 1 -> container 0 pos (0, 52, 0) dims (15, 18, 17)
  box    5 type 1 -> container 2 pos (0, 0, 26) dims (17, 15, 18)
  box    6 type 1 -> container 2 pos (15, 30, 35) dims (17, 15, 18)
  box    7 type 1 -> container 0 pos (0, 52, 17) dims (17, 18, 15)
  box    8 type 1 -> container 2 pos (0, 54, 0) dims (15, 17, 18)
  box    9 type 1 -> container 2 pos (15, 45, 24) dims (17, 15, 18)
  box   10 type 1 -> container 0 pos (0, 36, 15) dims (18, 15, 17)
  box   11 type 1 -> container 0 pos (0, 18, 15) dims (17, 18, 15)
  box   12 type 1 -> container 0 pos (33, 18, 0) dims (15, 18, 17)
  box   13 type 1 -> container 1 pos (0, 48, 17) dims (15, 18, 17)
  box   15 type 1 -> container 2 pos (15, 30, 18) dims (18, 15, 17)
  box   16 type 1 -> container 0 pos (0, 0, 15) dims (15, 18, 17)
  box   17 type 1 -> container 0 pos (0, 0, 0) dims (18, 17, 15)
  box   18 type 1 -> container 1 pos (41, 48, 17) dims (15, 17, 18)
  box   19 type 1 -> container 1 pos (15, 52, 26) dims (15, 17, 18)
  box   20 type 1 -> container 1 pos (0, 18, 26) dims (15, 18, 17)
  box   21 type 1 -> container 0 pos (18, 51, 0) dims (15, 18, 17)
  box   22 type 1 -> container 1 pos (0, 0, 26) dims (15, 18, 17)
  box   23 type 1 -> container 1 pos (0, 48, 0) dims (15, 18, 17)
  box   24 type 1 -> container 1 pos (41, 48, 0) dims (15, 18, 17)
  box   25 type 1 -> container 0 pos (0, 34, 0) dims (17, 18, 15)
  box   26 type 1 -> container 0 pos (33, 51, 0) dims (15, 18, 17)
