Instance: BR0-076
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 310 (1 types)
Containers: 1 (1 types)

Run started: 2026-09-13 13:22:54
Command: 3DMHKP-SA.py --instance-files /home/mcaspar/3DMHKP/BischoffRatcliff/BR0/BR0-076.txt --value-mode volume --time-limit 3600.0 --results-dir /home/mcaspar/3DMHKP/results_3DMHKP_BR0   [launched by: main_slurm.py --id 75 --num_cpu 1 --time-limit 3600]
Time limit: 3600.0 s per instance
Runtime: 3600.19 s (SA loop 3600.19 s, stopped on time limit)
Packed value (SA incumbent / lower bound): 25710300.0
0-1 knapsack bound (1D, valid under rotation): 30076200.0
Continuous-knapsack relaxation: 30076200.0
Gap to the 0-1 bound: 14.52%
Greedy (initial decode) value: 25710300.0
SA improvement over greedy: +0.0

SA parameters:
  time limit: 3600.0 s, max iterations: 500000000
  T0: 184831.31 (calibrated, 604 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 42135.25 over 3600s (alpha unused)
  reheat threshold: 5753 it, ceiling 46207.83 (25% of T0) decaying x0.9 per reheat
  ep limit: 0 (unlimited), value mode: volume
  move weights: swap=1, promote=1.5, demote=1.5, orient=1, container=0.5 (disabled: relocate, 2opt)
  seed: 1921093126

SA statistics:
  iterations: 13854 in 3600.19 s (4 it/s)
  stopped on: time limit
  accepted: 6103, rejected: 7750, no-move draws: 0, reheats: 2
  acceptance rate: 44.1%
  T at exit: 42135.3
  last improvement: none - the incumbent is the greedy decode
  verification: ok

Boxes packed: 265 / 310
Volume utilization: 25710300 / 30089620 = 85.4%

Container 0 (type 1, 587x220x233): 265 boxes, value 25710300.0, utilization 85.4%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 0 pos (0, 0, 0) dims (77, 42, 30)
  box    1 type 1 -> container 0 pos (77, 0, 0) dims (77, 42, 30)
  box    2 type 1 -> container 0 pos (154, 0, 0) dims (77, 42, 30)
  box    3 type 1 -> container 0 pos (231, 0, 0) dims (77, 42, 30)
  box    4 type 1 -> container 0 pos (308, 0, 0) dims (77, 42, 30)
  box    5 type 1 -> container 0 pos (385, 0, 0) dims (77, 42, 30)
  box    6 type 1 -> container 0 pos (462, 0, 0) dims (77, 42, 30)
  box    7 type 1 -> container 0 pos (539, 0, 0) dims (42, 77, 30)
  box    8 type 1 -> container 0 pos (0, 42, 0) dims (77, 42, 30)
  box    9 type 1 -> container 0 pos (77, 42, 0) dims (77, 42, 30)
  box   10 type 1 -> container 0 pos (154, 42, 0) dims (77, 42, 30)
  box   11 type 1 -> container 0 pos (231, 42, 0) dims (77, 42, 30)
  box   12 type 1 -> container 0 pos (308, 42, 0) dims (77, 42, 30)
  box   13 type 1 -> container 0 pos (385, 42, 0) dims (77, 42, 30)
  box   14 type 1 -> container 0 pos (462, 42, 0) dims (77, 42, 30)
  box   15 type 1 -> container 0 pos (539, 77, 0) dims (42, 77, 30)
  box   16 type 1 -> container 0 pos (0, 84, 0) dims (77, 42, 30)
  box   17 type 1 -> container 0 pos (77, 84, 0) dims (77, 42, 30)
  box   18 type 1 -> container 0 pos (154, 84, 0) dims (77, 42, 30)
  box   19 type 1 -> container 0 pos (231, 84, 0) dims (77, 42, 30)
  box   20 type 1 -> container 0 pos (308, 84, 0) dims (77, 42, 30)
  box   21 type 1 -> container 0 pos (385, 84, 0) dims (77, 42, 30)
