Instance: BR0-100
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 167 (1 types)
Containers: 1 (1 types)

Run started: 2026-09-13 12:31:52
Command: 3DMHKP-SA.py --instance-files /home/mcaspar/3DMHKP/BischoffRatcliff/BR0/BR0-100.txt --value-mode volume --time-limit 900.0 --results-dir /home/mcaspar/3DMHKP/results_3DMHKP_BR0   [launched by: main_slurm.py --id 99 --num_cpu 1 --time-limit 900]
Time limit: 900.0 s per instance
Runtime: 900.03 s (SA loop 900.02 s, stopped on time limit)
Packed value (SA incumbent / lower bound): 24250590.0
0-1 knapsack bound (1D, valid under rotation): 29998878.0
Continuous-knapsack relaxation: 29998878.0
Gap to the 0-1 bound: 19.16%
Greedy (initial decode) value: 20119008.0
SA improvement over greedy: +4131582.0

SA parameters:
  time limit: 900.0 s, max iterations: 500000000
  T0: 1005950.40 (5% of f(S_0))
  schedule: time-based, T0 -> 0.00 over 900s (alpha unused)
  reheat threshold: 5753 it, ceiling 251487.60 (25% of T0) decaying x0.9 per reheat
  ep limit: 0 (unlimited), value mode: volume
  move weights: swap=1, promote=1.5, demote=1.5, orient=1, container=0.5 (disabled: relocate, 2opt)
  seed: 1121019147

SA statistics:
  iterations: 28603 in 900.02 s (32 it/s)
  stopped on: time limit
  accepted: 14673, rejected: 13929, no-move draws: 0, reheats: 3
  acceptance rate: 51.3%
  T at exit: 203705
  last improvement: iteration 6976 at 222.6 s, 25% into the run
  verification: ok

Boxes packed: 135 / 167
Volume utilization: 24250590 / 30089620 = 80.6%

Container 0 (type 1, 587x220x233): 135 boxes, value 24250590.0, utilization 80.6%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 0 pos (239, 172, 49) dims (78, 47, 49)
  box    1 type 1 -> container 0 pos (286, 94, 47) dims (47, 78, 49)
  box    2 type 1 -> container 0 pos (444, 49, 176) dims (47, 78, 49)
  box    3 type 1 -> container 0 pos (395, 49, 174) dims (49, 78, 47)
  box    5 type 1 -> container 0 pos (192, 125, 127) dims (47, 78, 49)
  box    6 type 1 -> container 0 pos (0, 78, 0) dims (49, 78, 47)
  box    7 type 1 -> container 0 pos (143, 125, 174) dims (49, 78, 47)
  box    8 type 1 -> container 0 pos (127, 0, 176) dims (78, 47, 49)
  box   11 type 1 -> container 0 pos (143, 0, 98) dims (49, 47, 78)
  box   14 type 1 -> container 0 pos (444, 127, 0) dims (47, 78, 49)
  box   15 type 1 -> container 0 pos (96, 49, 0) dims (47, 78, 49)
  box   16 type 1 -> container 0 pos (221, 0, 49) dims (78, 47, 49)
  box   17 type 1 -> container 0 pos (395, 0, 47) dims (47, 49, 78)
  box   18 type 1 -> container 0 pos (143, 125, 0) dims (49, 78, 47)
  box   19 type 1 -> container 0 pos (348, 49, 147) dims (47, 49, 78)
  box   20 type 1 -> container 0 pos (96, 0, 78) dims (47, 49, 78)
  box   23 type 1 -> container 0 pos (190, 47, 0) dims (49, 78, 47)
  box   24 type 1 -> container 0 pos (538, 143, 49) dims (47, 49, 78)
  box   25 type 1 -> container 0 pos (491, 78, 0) dims (47, 78, 49)
  box   26 type 1 -> container 0 pos (491, 156, 0) dims (47, 49, 78)
  box   27 type 1 -> container 0 pos (49, 49, 98) dims (47, 49, 78)
  box   28 type 1 -> container 0 pos (395, 156, 78) dims (49, 47, 78)
