Instance: instance02
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 180 (4 types)
Containers: 15 (3 types)

Runtime: 1800.00 s
Packed value (SA incumbent / lower bound): 83302.4
Continuous-knapsack bound: 86016.0
Gap to that bound: 3.15%
Greedy (initial decode) value: 76019.2
SA improvement over greedy: +7283.2

SA parameters and statistics:
  T0: 3800.96
  alpha: 0.999, reheat threshold: 5753
  iterations: 2458243 (1366 it/s)
  accepted: 1268382, rejected: 1189860, no-move draws: 0, reheats: 424
  seed: 580200131
  verification: ok

Boxes packed: 107 / 180
Volume utilization: 67584 / 67840 = 99.6%

Container 0 (type 1, 20x16x20): 10 boxes, value 7705.6, utilization 100.0%
Container 1 (type 1, 20x16x20): 8 boxes, value 7462.4, utilization 99.0%
Container 2 (type 1, 20x16x20): 8 boxes, value 7872.0, utilization 99.0%
Container 3 (type 1, 20x16x20): 13 boxes, value 8793.6, utilization 99.0%
Container 4 (type 1, 20x16x20): 10 boxes, value 7321.6, utilization 100.0%
Container 5 (type 2, 24x12x16): 9 boxes, value 5683.2, utilization 100.0%
Container 6 (type 2, 24x12x16): 4 boxes, value 5529.6, utilization 100.0%
Container 7 (type 2, 24x12x16): 9 boxes, value 6451.2, utilization 100.0%
Container 8 (type 2, 24x12x16): 4 boxes, value 5529.6, utilization 100.0%
Container 9 (type 2, 24x12x16): 7 boxes, value 5414.4, utilization 98.6%
Container 10 (type 3, 20x8x16): 5 boxes, value 3200.0, utilization 100.0%
Container 11 (type 3, 20x8x16): 5 boxes, value 3200.0, utilization 100.0%
Container 12 (type 3, 20x8x16): 5 boxes, value 3174.4, utilization 100.0%
Container 13 (type 3, 20x8x16): 5 boxes, value 2790.4, utilization 100.0%
Container 14 (type 3, 20x8x16): 5 boxes, value 3174.4, utilization 100.0%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 14 pos (12, 0, 0) dims (8, 4, 16)
  box    1 type 1 -> container 7 pos (12, 4, 0) dims (4, 8, 16)
  box    2 type 1 -> container 14 pos (12, 4, 0) dims (8, 4, 16)
  box    3 type 1 -> container 3 pos (4, 0, 4) dims (16, 4, 8)
  box    4 type 1 -> container 3 pos (0, 0, 0) dims (4, 16, 8)
  box    5 type 1 -> container 0 pos (0, 0, 12) dims (8, 16, 4)
  box    6 type 1 -> container 3 pos (4, 4, 4) dims (8, 4, 16)
  box    7 type 1 -> container 7 pos (0, 0, 8) dims (16, 4, 8)
  box    8 type 1 -> container 7 pos (0, 0, 0) dims (16, 4, 8)
  box    9 type 1 -> container 2 pos (16, 0, 12) dims (4, 16, 8)
  box   10 type 1 -> container 3 pos (12, 4, 4) dims (8, 4, 16)
  box   11 type 1 -> container 7 pos (16, 8, 0) dims (8, 4, 16)
  box   12 type 1 -> container 12 pos (0, 4, 0) dims (8, 4, 16)
  box   13 type 1 -> container 0 pos (8, 0, 12) dims (4, 16, 8)
  box   14 type 1 -> container 7 pos (20, 0, 0) dims (4, 8, 16)
  box   15 type 1 -> container 2 pos (12, 0, 12) dims (4, 16, 8)
  box   17 type 1 -> container 10 pos (12, 0, 0) dims (4, 8, 16)
  box   18 type 1 -> container 0 pos (0, 0, 16) dims (8, 16, 4)
  box   19 type 1 -> container 12 pos (0, 0, 0) dims (8, 4, 16)
  box   20 type 1 -> container 3 pos (12, 12, 0) dims (8, 4, 16)
  box   21 type 1 -> container 7 pos (8, 4, 0) dims (4, 8, 16)
  box   22 type 1 -> container 2 pos (0, 12, 0) dims (8, 4, 16)
  box   23 type 1 -> container 1 pos (0, 12, 0) dims (8, 4, 16)
  box   24 type 1 -> container 3 pos (4, 12, 0) dims (8, 4, 16)
  box   25 type 1 -> container 11 pos (12, 0, 0) dims (4, 8, 16)
  box   26 type 1 -> container 9 pos (16, 8, 0) dims (8, 4, 16)
  box   27 type 1 -> container 7 pos (0, 4, 0) dims (8, 4, 16)
  box   28 type 1 -> container 3 pos (4, 8, 8) dims (16, 4, 8)
  box   29 type 1 -> container 3 pos (4, 0, 12) dims (16, 4, 8)
  box   30 type 1 -> container 3 pos (0, 0, 8) dims (4, 16, 8)
  box   32 type 1 -> container 10 pos (16, 0, 0) dims (4, 8, 16)
  box   33 type 1 -> container 9 pos (0, 0, 12) dims (16, 8, 4)
  box   34 type 1 -> container 11 pos (16, 0, 0) dims (4, 8, 16)
  box   35 type 1 -> container 5 pos (0, 8, 8) dims (16, 4, 8)
  box   36 type 1 -> container 3 pos (4, 0, 0) dims (16, 8, 4)
  box   37 type 1 -> container 3 pos (4, 8, 16) dims (16, 8, 4)
  box   38 type 1 -> container 5 pos (12, 0, 0) dims (4, 8, 16)
  box   39 type 1 -> container 3 pos (4, 8, 0) dims (16, 4, 8)
  box   40 type 1 -> container 14 pos (8, 0, 0) dims (4, 8, 16)
  box   41 type 1 -> container 7 pos (0, 8, 0) dims (8, 4, 16)
  box   42 type 1 -> container 7 pos (16, 0, 0) dims (4, 8, 16)
  box   43 type 1 -> container 12 pos (16, 0, 0) dims (4, 8, 16)
  box   44 type 1 -> container 5 pos (0, 8, 0) dims (16, 4, 8)
  box   45 type 2 -> container 12 pos (8, 0, 0) dims (8, 8, 8)
  box   46 type 2 -> container 12 pos (8, 0, 8) dims (8, 8, 8)
  box   49 type 2 -> container 13 pos (12, 0, 8) dims (8, 8, 8)
  box   52 type 2 -> container 13 pos (12, 0, 0) dims (8, 8, 8)
  box   53 type 2 -> container 0 pos (12, 0, 0) dims (8, 8, 8)
  box   56 type 2 -> container 4 pos (12, 8, 12) dims (8, 8, 8)
  box   57 type 2 -> container 9 pos (16, 0, 0) dims (8, 8, 8)
  box   60 type 2 -> container 9 pos (16, 0, 8) dims (8, 8, 8)
  box   66 type 2 -> container 4 pos (12, 0, 12) dims (8, 8, 8)
  box   67 type 2 -> container 0 pos (12, 8, 0) dims (8, 8, 8)
  box   71 type 2 -> container 14 pos (0, 0, 0) dims (8, 8, 8)
  box   72 type 2 -> container 1 pos (12, 8, 12) dims (8, 8, 8)
  box   92 type 2 -> container 14 pos (0, 0, 8) dims (8, 8, 8)
  box  103 type 2 -> container 1 pos (12, 0, 12) dims (8, 8, 8)
  box  105 type 3 -> container 0 pos (12, 0, 8) dims (8, 12, 12)
  box  106 type 3 -> container 8 pos (0, 0, 0) dims (12, 12, 8)
  box  107 type 3 -> container 4 pos (0, 8, 0) dims (12, 8, 12)
  box  108 type 3 -> container 9 pos (0, 0, 0) dims (8, 12, 12)
  box  110 type 3 -> container 4 pos (0, 0, 12) dims (12, 12, 8)
  box  114 type 3 -> container 2 pos (0, 0, 0) dims (8, 12, 12)
  box  115 type 3 -> container 1 pos (0, 0, 12) dims (12, 12, 8)
  box  116 type 3 -> container 4 pos (0, 0, 0) dims (12, 8, 12)
  box  117 type 3 -> container 4 pos (12, 0, 0) dims (8, 12, 12)
  box  118 type 3 -> container 1 pos (8, 8, 0) dims (12, 8, 12)
  box  120 type 3 -> container 2 pos (8, 0, 0) dims (12, 8, 12)
  box  122 type 3 -> container 5 pos (16, 0, 0) dims (8, 12, 12)
  box  123 type 3 -> container 11 pos (0, 0, 0) dims (12, 8, 12)
  box  125 type 3 -> container 8 pos (0, 0, 8) dims (12, 12, 8)
  box  127 type 3 -> container 8 pos (12, 0, 0) dims (12, 12, 8)
  box  130 type 3 -> container 13 pos (0, 0, 0) dims (12, 8, 12)
  box  133 type 3 -> container 1 pos (8, 0, 0) dims (12, 8, 12)
  box  134 type 3 -> container 2 pos (8, 8, 0) dims (12, 8, 12)
