Instance: instance06
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 95 (3 types)
Containers: 9 (3 types)

Runtime: 1800.00 s
Packed value (SA incumbent / lower bound): 139968.0
Continuous-knapsack bound: 143424.0
Gap to that bound: 2.41%
Greedy (initial decode) value: 123840.0
SA improvement over greedy: +16128.0

SA parameters and statistics:
  T0: 6192.00
  alpha: 0.999, reheat threshold: 5753
  iterations: 2874269 (1597 it/s)
  accepted: 1142915, rejected: 1731353, no-move draws: 0, reheats: 494
  seed: 654418421
  verification: ok

Boxes packed: 76 / 95
Volume utilization: 84960 / 87840 = 96.7%

Container 0 (type 1, 24x20x24): 12 boxes, value 17184.0, utilization 97.9%
Container 1 (type 1, 24x20x24): 12 boxes, value 16320.0, utilization 100.0%
Container 2 (type 2, 18x16x20): 5 boxes, value 10176.0, utilization 91.7%
Container 3 (type 2, 18x16x20): 4 boxes, value 11520.0, utilization 100.0%
Container 4 (type 2, 18x16x20): 4 boxes, value 11520.0, utilization 100.0%
Container 5 (type 2, 18x16x20): 4 boxes, value 11520.0, utilization 100.0%
Container 6 (type 2, 18x16x20): 4 boxes, value 11520.0, utilization 100.0%
Container 7 (type 3, 30x20x30): 12 boxes, value 26016.0, utilization 92.0%
Container 8 (type 3, 30x20x30): 19 boxes, value 24192.0, utilization 96.0%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 2 pos (10, 0, 0) dims (8, 10, 18)
  box    1 type 1 -> container 0 pos (0, 12, 0) dims (10, 8, 18)
  box    2 type 1 -> container 6 pos (0, 8, 0) dims (18, 8, 10)
  box    3 type 1 -> container 8 pos (10, 12, 0) dims (10, 8, 18)
  box    4 type 1 -> container 4 pos (0, 0, 10) dims (18, 8, 10)
  box    5 type 1 -> container 7 pos (0, 0, 20) dims (8, 18, 10)
  box    6 type 1 -> container 0 pos (10, 0, 0) dims (8, 10, 18)
  box    7 type 1 -> container 2 pos (0, 0, 0) dims (10, 8, 18)
  box    8 type 1 -> container 7 pos (20, 0, 0) dims (10, 18, 8)
  box    9 type 1 -> container 2 pos (0, 8, 0) dims (10, 8, 18)
  box   10 type 1 -> container 6 pos (0, 8, 10) dims (18, 8, 10)
  box   11 type 1 -> container 4 pos (0, 0, 0) dims (18, 8, 10)
  box   12 type 1 -> container 4 pos (0, 8, 10) dims (18, 8, 10)
  box   13 type 1 -> container 3 pos (0, 8, 0) dims (18, 8, 10)
  box   14 type 1 -> container 3 pos (0, 8, 10) dims (18, 8, 10)
  box   15 type 1 -> container 5 pos (0, 8, 0) dims (18, 8, 10)
  box   16 type 1 -> container 1 pos (10, 0, 0) dims (8, 10, 18)
  box   17 type 1 -> container 6 pos (0, 0, 10) dims (18, 8, 10)
  box   18 type 1 -> container 6 pos (0, 0, 0) dims (18, 8, 10)
  box   19 type 1 -> container 7 pos (0, 0, 10) dims (8, 18, 10)
  box   20 type 1 -> container 5 pos (0, 8, 10) dims (18, 8, 10)
  box   21 type 1 -> container 3 pos (0, 0, 10) dims (18, 8, 10)
  box   22 type 1 -> container 5 pos (0, 0, 0) dims (18, 8, 10)
  box   23 type 1 -> container 5 pos (0, 0, 10) dims (18, 8, 10)
  box   24 type 1 -> container 4 pos (0, 8, 0) dims (18, 8, 10)
  box   25 type 1 -> container 7 pos (0, 0, 0) dims (8, 18, 10)
  box   26 type 1 -> container 7 pos (20, 12, 8) dims (10, 8, 18)
  box   27 type 1 -> container 3 pos (0, 0, 0) dims (18, 8, 10)
  box   28 type 2 -> container 1 pos (10, 10, 0) dims (14, 10, 12)
  box   30 type 2 -> container 8 pos (0, 0, 12) dims (10, 14, 12)
  box   31 type 2 -> container 0 pos (0, 0, 0) dims (10, 12, 14)
  box   33 type 2 -> container 7 pos (8, 0, 14) dims (12, 10, 14)
  box   34 type 2 -> container 0 pos (10, 10, 12) dims (14, 10, 12)
  box   36 type 2 -> container 8 pos (10, 0, 0) dims (10, 12, 14)
  box   40 type 2 -> container 8 pos (20, 0, 0) dims (10, 14, 12)
  box   42 type 2 -> container 8 pos (10, 0, 14) dims (10, 12, 14)
  box   44 type 2 -> container 1 pos (10, 10, 12) dims (14, 10, 12)
  box   48 type 2 -> container 7 pos (8, 10, 14) dims (12, 10, 14)
  box   51 type 2 -> container 1 pos (0, 0, 0) dims (10, 14, 12)
  box   53 type 2 -> container 8 pos (0, 0, 0) dims (10, 14, 12)
  box   55 type 2 -> container 1 pos (0, 0, 12) dims (10, 14, 12)
  box   57 type 2 -> container 0 pos (10, 10, 0) dims (14, 10, 12)
  box   58 type 2 -> container 7 pos (8, 10, 0) dims (12, 10, 14)
  box   59 type 2 -> container 7 pos (20, 0, 8) dims (10, 12, 14)
  box   62 type 2 -> container 8 pos (20, 0, 12) dims (10, 14, 12)
  box   63 type 2 -> container 7 pos (8, 0, 0) dims (12, 10, 14)
  box   65 type 3 -> container 1 pos (18, 0, 0) dims (6, 10, 8)
  box   66 type 3 -> container 1 pos (18, 0, 8) dims (6, 10, 8)
  box   67 type 3 -> container 0 pos (0, 6, 14) dims (10, 6, 8)
  box   68 type 3 -> container 8 pos (20, 0, 24) dims (10, 8, 6)
  box   69 type 3 -> container 8 pos (0, 14, 8) dims (10, 6, 8)
  box   70 type 3 -> container 8 pos (10, 12, 24) dims (10, 8, 6)
  box   71 type 3 -> container 0 pos (0, 0, 14) dims (10, 6, 8)
  box   72 type 3 -> container 0 pos (18, 0, 8) dims (6, 10, 8)
  box   73 type 3 -> container 2 pos (10, 10, 0) dims (8, 6, 10)
  box   74 type 3 -> container 0 pos (0, 12, 18) dims (10, 8, 6)
  box   75 type 3 -> container 8 pos (0, 0, 24) dims (8, 10, 6)
  box   76 type 3 -> container 1 pos (0, 14, 0) dims (10, 6, 8)
  box   77 type 3 -> container 8 pos (10, 12, 18) dims (10, 8, 6)
  box   78 type 3 -> container 7 pos (20, 0, 22) dims (10, 6, 8)
  box   79 type 3 -> container 8 pos (20, 14, 8) dims (10, 6, 8)
  box   80 type 3 -> container 0 pos (18, 0, 0) dims (6, 10, 8)
  box   81 type 3 -> container 8 pos (20, 14, 16) dims (10, 6, 8)
  box   82 type 3 -> container 7 pos (20, 6, 22) dims (10, 6, 8)
  box   83 type 3 -> container 1 pos (10, 0, 18) dims (8, 10, 6)
  box   84 type 3 -> container 8 pos (0, 14, 16) dims (10, 6, 8)
  box   85 type 3 -> container 1 pos (0, 14, 8) dims (10, 6, 8)
  box   86 type 3 -> container 0 pos (18, 0, 16) dims (6, 10, 8)
  box   87 type 3 -> container 8 pos (20, 14, 0) dims (10, 6, 8)
  box   88 type 3 -> container 8 pos (0, 14, 0) dims (10, 6, 8)
  box   89 type 3 -> container 1 pos (18, 0, 16) dims (6, 10, 8)
  box   90 type 3 -> container 2 pos (10, 10, 10) dims (8, 6, 10)
  box   91 type 3 -> container 1 pos (0, 14, 16) dims (10, 6, 8)
  box   92 type 3 -> container 8 pos (20, 8, 24) dims (10, 8, 6)
  box   93 type 3 -> container 8 pos (0, 10, 24) dims (10, 8, 6)
  box   94 type 3 -> container 0 pos (10, 0, 18) dims (8, 10, 6)
