Instance: instance07
Solver: simulated annealing (sequence decoder)
Value model: v_i = c_i * volume_i (volume)
Boxes: 47 (3 types)
Containers: 2 (2 types)

Runtime: 1800.00 s
Packed value (SA incumbent / lower bound): 17556.0
Continuous-knapsack bound: 20203.2
Gap to that bound: 13.10%
Greedy (initial decode) value: 16437.0
SA improvement over greedy: +1119.0

SA parameters and statistics:
  T0: 821.85
  alpha: 0.999, reheat threshold: 5753
  iterations: 4133736 (2297 it/s)
  accepted: 1763824, rejected: 2369911, no-move draws: 0, reheats: 717
  seed: 106030627
  verification: ok

Boxes packed: 24 / 47
Volume utilization: 12148 / 13596 = 89.3%

Container 0 (type 1, 20x15x29): 14 boxes, value 11064.0, utilization 87.4%
Container 1 (type 2, 17x12x24): 10 boxes, value 6492.0, utilization 92.9%

Placements (box, type, container, position, oriented dims):
  box    1 type 1 -> container 0 pos (0, 7, 24) dims (10, 7, 4)
  box    6 type 1 -> container 0 pos (0, 0, 24) dims (10, 7, 4)
  box    8 type 1 -> container 0 pos (10, 0, 24) dims (10, 7, 4)
  box   13 type 1 -> container 0 pos (10, 7, 24) dims (10, 7, 4)
  box   15 type 2 -> container 1 pos (12, 0, 3) dims (5, 11, 3)
  box   18 type 2 -> container 1 pos (12, 0, 0) dims (5, 11, 3)
  box   25 type 2 -> container 1 pos (6, 0, 15) dims (5, 11, 3)
  box   26 type 2 -> container 1 pos (12, 0, 6) dims (5, 11, 3)
  box   27 type 3 -> container 0 pos (0, 6, 0) dims (12, 9, 6)
  box   28 type 3 -> container 0 pos (12, 6, 0) dims (6, 9, 12)
  box   30 type 3 -> container 0 pos (9, 0, 0) dims (9, 6, 12)
  box   31 type 3 -> container 1 pos (11, 0, 15) dims (6, 12, 9)
  box   32 type 3 -> container 0 pos (0, 0, 0) dims (9, 6, 12)
  box   33 type 3 -> container 0 pos (0, 6, 6) dims (6, 9, 12)
  box   34 type 3 -> container 1 pos (0, 0, 0) dims (12, 6, 9)
  box   35 type 3 -> container 0 pos (12, 6, 12) dims (6, 9, 12)
  box   38 type 3 -> container 0 pos (0, 0, 12) dims (9, 6, 12)
  box   39 type 3 -> container 0 pos (6, 6, 6) dims (6, 9, 12)
  box   40 type 3 -> container 1 pos (0, 0, 18) dims (9, 12, 6)
  box   41 type 3 -> container 1 pos (0, 0, 9) dims (6, 12, 9)
  box   43 type 3 -> container 0 pos (9, 0, 12) dims (9, 6, 12)
  box   44 type 3 -> container 0 pos (0, 6, 18) dims (12, 9, 6)
  box   45 type 3 -> container 1 pos (0, 6, 0) dims (12, 6, 9)
  box   46 type 3 -> container 1 pos (6, 0, 9) dims (9, 12, 6)
