Instance: instance08
Load stability: NOT imposed (alpha = 0)
Value model: v_i = c_i * volume_i (volume)
Boxes: 175 (6 types)
Containers: 5 (3 types)

Status: skipped (too large)
Runtime: 0.07 s
Packed value (incumbent / lower bound): 52665.6
Dual bound (MILP): 77986.8
Continuous-knapsack bound: 77986.8
Optimality gap: 32.47%
Greedy warm-start value: 52665.6
Minimum base support achieved: 0.0%

Boxes packed: 117 / 175
Volume utilization: 35530 / 41120 = 86.4%

Container 0 (type 1, 17x16x20): 14 boxes, value 7191.0, utilization 87.6%
Container 1 (type 1, 17x16x20): 14 boxes, value 7191.0, utilization 87.6%
Container 2 (type 2, 23x18x30): 38 boxes, value 16161.2, utilization 89.4%
Container 3 (type 2, 23x18x30): 38 boxes, value 16161.2, utilization 89.4%
Container 4 (type 3, 15x12x30): 13 boxes, value 5961.2, utilization 70.2%

Placements (box, type, container, position, oriented dims):
  box    0 type 5 -> container 0 pos (0, 0, 0) dims (10, 14, 11)
  box    1 type 3 -> container 0 pos (10, 0, 0) dims (4, 13, 7)
  box    2 type 6 -> container 0 pos (14, 0, 0) dims (2, 8, 4)
  box    3 type 6 -> container 0 pos (14, 8, 0) dims (2, 8, 4)
  box    4 type 6 -> container 0 pos (10, 13, 0) dims (4, 2, 8)
  box    5 type 6 -> container 0 pos (0, 14, 0) dims (8, 2, 4)
  box    6 type 6 -> container 0 pos (0, 14, 4) dims (8, 2, 4)
  box    7 type 3 -> container 0 pos (10, 0, 7) dims (7, 13, 4)
  box    8 type 6 -> container 0 pos (0, 14, 8) dims (8, 2, 4)
  box    9 type 6 -> container 0 pos (8, 14, 8) dims (4, 2, 8)
  box   10 type 4 -> container 0 pos (0, 0, 11) dims (12, 13, 8)
  box   11 type 2 -> container 0 pos (12, 0, 11) dims (5, 15, 9)
  box   12 type 6 -> container 0 pos (0, 14, 12) dims (8, 2, 4)
  box   13 type 6 -> container 0 pos (0, 14, 16) dims (8, 2, 4)
  box   14 type 5 -> container 1 pos (0, 0, 0) dims (10, 14, 11)
  box   15 type 3 -> container 1 pos (10, 0, 0) dims (4, 13, 7)
  box   16 type 6 -> container 1 pos (14, 0, 0) dims (2, 8, 4)
  box   17 type 6 -> container 1 pos (14, 8, 0) dims (2, 8, 4)
  box   18 type 6 -> container 1 pos (10, 13, 0) dims (4, 2, 8)
  box   19 type 6 -> container 1 pos (0, 14, 0) dims (8, 2, 4)
  box   20 type 6 -> container 1 pos (0, 14, 4) dims (8, 2, 4)
  box   21 type 3 -> container 1 pos (10, 0, 7) dims (7, 13, 4)
  box   22 type 6 -> container 1 pos (0, 14, 8) dims (8, 2, 4)
  box   23 type 6 -> container 1 pos (8, 14, 8) dims (4, 2, 8)
  box   24 type 4 -> container 1 pos (0, 0, 11) dims (12, 13, 8)
  box   25 type 2 -> container 1 pos (12, 0, 11) dims (5, 15, 9)
  box   26 type 6 -> container 1 pos (0, 14, 12) dims (8, 2, 4)
  box   27 type 6 -> container 1 pos (0, 14, 16) dims (8, 2, 4)
  box   28 type 5 -> container 2 pos (0, 0, 0) dims (10, 14, 11)
  box   29 type 3 -> container 2 pos (10, 0, 0) dims (4, 13, 7)
  box   30 type 4 -> container 2 pos (14, 0, 0) dims (8, 12, 13)
  box   31 type 1 -> container 2 pos (14, 12, 0) dims (8, 6, 11)
