Instance: instance08
Load stability: alpha = 1.00 (full base support), form 'column'
Value model: v_i = c_i * volume_i (volume)
Boxes: 175 (6 types)
Containers: 5 (3 types)

Status: skipped (too large)
Runtime: 0.07 s
Packed value (incumbent / lower bound): 47506.4
Dual bound (MILP): 77986.8
Continuous-knapsack bound: 77986.8
Optimality gap: 39.08%
Greedy warm-start value: 47506.4
Minimum base support achieved: 100.0%

Boxes packed: 121 / 175
Volume utilization: 34046 / 41120 = 82.8%

Container 0 (type 1, 17x16x20): 26 boxes, value 6430.2, utilization 86.0%
Container 1 (type 1, 17x16x20): 11 boxes, value 5470.2, utilization 68.4%
Container 2 (type 2, 23x18x30): 32 boxes, value 15591.4, utilization 89.0%
Container 3 (type 2, 23x18x30): 48 boxes, value 14951.0, utilization 90.0%
Container 4 (type 3, 15x12x30): 4 boxes, value 5063.6, utilization 63.3%

Placements (box, type, container, position, oriented dims):
  box    0 type 5 -> container 0 pos (0, 0, 0) dims (10, 14, 11)
  box    1 type 1 -> container 0 pos (10, 0, 0) dims (6, 8, 11)
  box    2 type 6 -> container 0 pos (10, 8, 0) dims (2, 8, 4)
  box    3 type 6 -> container 0 pos (12, 8, 0) dims (2, 8, 4)
  box    4 type 6 -> container 0 pos (14, 8, 0) dims (2, 8, 4)
  box    5 type 6 -> container 0 pos (0, 14, 0) dims (8, 2, 4)
  box    6 type 1 -> container 0 pos (10, 8, 4) dims (6, 8, 11)
  box    7 type 6 -> container 0 pos (0, 14, 4) dims (8, 2, 4)
  box    8 type 6 -> container 0 pos (0, 14, 8) dims (8, 2, 4)
  box    9 type 2 -> container 0 pos (0, 0, 11) dims (15, 5, 9)
  box   10 type 6 -> container 0 pos (0, 5, 11) dims (8, 2, 4)
  box   11 type 6 -> container 0 pos (8, 5, 11) dims (8, 2, 4)
  box   12 type 6 -> container 0 pos (0, 7, 11) dims (8, 2, 4)
  box   13 type 6 -> container 0 pos (8, 7, 11) dims (2, 4, 8)
  box   14 type 6 -> container 0 pos (0, 9, 11) dims (8, 2, 4)
  box   15 type 6 -> container 0 pos (0, 11, 11) dims (8, 2, 4)
  box   16 type 6 -> container 0 pos (0, 14, 12) dims (8, 2, 4)
  box   17 type 6 -> container 0 pos (0, 5, 15) dims (8, 2, 4)
  box   18 type 6 -> container 0 pos (8, 5, 15) dims (8, 2, 4)
  box   19 type 6 -> container 0 pos (0, 7, 15) dims (8, 2, 4)
  box   20 type 6 -> container 0 pos (10, 8, 15) dims (2, 8, 4)
  box   21 type 6 -> container 0 pos (12, 8, 15) dims (2, 8, 4)
  box   22 type 6 -> container 0 pos (14, 8, 15) dims (2, 8, 4)
  box   23 type 6 -> container 0 pos (0, 9, 15) dims (8, 2, 4)
  box   24 type 6 -> container 0 pos (0, 11, 15) dims (8, 2, 4)
  box   25 type 6 -> container 0 pos (0, 14, 16) dims (8, 2, 4)
  box   26 type 5 -> container 1 pos (0, 0, 0) dims (10, 14, 11)
  box   27 type 1 -> container 1 pos (10, 0, 0) dims (6, 8, 11)
  box   28 type 6 -> container 1 pos (10, 8, 0) dims (2, 8, 4)
  box   29 type 6 -> container 1 pos (12, 8, 0) dims (2, 8, 4)
  box   30 type 6 -> container 1 pos (14, 8, 0) dims (2, 8, 4)
  box   31 type 6 -> container 1 pos (0, 14, 0) dims (8, 2, 4)
  box   32 type 1 -> container 1 pos (10, 8, 4) dims (6, 8, 11)
  box   33 type 6 -> container 1 pos (0, 14, 4) dims (8, 2, 4)
  box   34 type 6 -> container 1 pos (0, 14, 8) dims (8, 2, 4)
  box   35 type 2 -> container 1 pos (0, 0, 11) dims (15, 5, 9)
  box   36 type 6 -> container 1 pos (0, 5, 11) dims (8, 2, 4)
  box   37 type 5 -> container 2 pos (0, 0, 0) dims (10, 14, 11)
  box   38 type 3 -> container 2 pos (10, 0, 0) dims (4, 13, 7)
  box   39 type 4 -> container 2 pos (14, 0, 0) dims (8, 12, 13)
  box   40 type 1 -> container 2 pos (14, 12, 0) dims (8, 6, 11)
  box   41 type 6 -> container 2 pos (10, 13, 0) dims (2, 4, 8)
  box   42 type 6 -> container 2 pos (12, 13, 0) dims (2, 4, 8)
  box   43 type 3 -> container 2 pos (0, 14, 0) dims (7, 4, 13)
  box   44 type 6 -> container 2 pos (7, 14, 0) dims (2, 4, 8)
  box   45 type 3 -> container 2 pos (10, 0, 7) dims (4, 13, 7)
  box   46 type 6 -> container 2 pos (10, 13, 8) dims (2, 4, 8)
  box   47 type 6 -> container 2 pos (12, 13, 8) dims (2, 4, 8)
  box   48 type 6 -> container 2 pos (7, 14, 8) dims (2, 4, 8)
  box   49 type 2 -> container 2 pos (0, 0, 11) dims (5, 9, 15)
  box   50 type 2 -> container 2 pos (5, 0, 11) dims (5, 9, 15)
  box   51 type 2 -> container 2 pos (0, 9, 11) dims (9, 5, 15)
  box   52 type 1 -> container 2 pos (14, 12, 11) dims (8, 6, 11)
  box   53 type 4 -> container 2 pos (14, 0, 13) dims (8, 12, 13)
  box   54 type 3 -> container 2 pos (0, 14, 13) dims (7, 4, 13)
  box   55 type 3 -> container 2 pos (10, 0, 14) dims (4, 13, 7)
  box   56 type 6 -> container 2 pos (10, 13, 16) dims (2, 4, 8)
  box   57 type 6 -> container 2 pos (12, 13, 16) dims (2, 4, 8)
  box   58 type 6 -> container 2 pos (7, 14, 16) dims (2, 4, 8)
  box   59 type 3 -> container 2 pos (10, 0, 21) dims (4, 13, 7)
  box   60 type 6 -> container 2 pos (14, 12, 22) dims (8, 2, 4)
  box   61 type 6 -> container 2 pos (14, 14, 22) dims (8, 2, 4)
  box   62 type 6 -> container 2 pos (14, 16, 22) dims (8, 2, 4)
  box   63 type 3 -> container 2 pos (0, 0, 26) dims (7, 13, 4)
  box   64 type 6 -> container 2 pos (7, 0, 26) dims (2, 8, 4)
  box   65 type 3 -> container 2 pos (14, 0, 26) dims (7, 13, 4)
  box   66 type 6 -> container 2 pos (14, 13, 26) dims (8, 2, 4)
  box   67 type 6 -> container 2 pos (14, 15, 26) dims (8, 2, 4)
  box   68 type 6 -> container 2 pos (10, 0, 28) dims (4, 8, 2)
  box   69 type 5 -> container 3 pos (0, 0, 0) dims (10, 14, 11)
  box   70 type 3 -> container 3 pos (10, 0, 0) dims (4, 13, 7)
