Instance: instance11
Load stability: NOT imposed (alpha = 0)
Value model: v_i = c_i * volume_i (volume)
Boxes: 118 (4 types)
Containers: 4 (3 types)

Status: time limit
Runtime: 125.57 s
Packed value (incumbent / lower bound): 54761.0
Dual bound (MILP): 55286.0
Continuous-knapsack bound: 68353.2
Optimality gap: 0.95%
Greedy warm-start value: 31263.0
Minimum base support achieved: 0.0%

Boxes packed: 27 / 118
Volume utilization: 33365 / 37974 = 87.9%

Container 0 (type 1, 21x18x24): 7 boxes, value 12769.8, utilization 89.5%
Container 1 (type 1, 21x18x24): 7 boxes, value 12769.8, utilization 89.5%
Container 2 (type 2, 19x15x26): 4 boxes, value 11138.4, utilization 83.5%
Container 3 (type 3, 23x20x27): 9 boxes, value 18083.0, utilization 88.0%

Placements (box, type, container, position, oriented dims):
  box    0 type 4 -> container 0 pos (0, 0, 0) dims (8, 10, 10)
  box    1 type 2 -> container 0 pos (9, 0, 0) dims (12, 9, 10)
  box    2 type 4 -> container 0 pos (0, 10, 0) dims (10, 8, 10)
  box    3 type 4 -> container 0 pos (11, 10, 0) dims (10, 8, 10)
  box    4 type 3 -> container 0 pos (0, 0, 11) dims (7, 17, 13)
  box    5 type 3 -> container 0 pos (7, 0, 11) dims (7, 17, 13)
  box    6 type 3 -> container 0 pos (14, 0, 11) dims (7, 17, 13)
  box    7 type 3 -> container 1 pos (0, 0, 0) dims (13, 17, 7)
  box    8 type 3 -> container 1 pos (14, 0, 0) dims (7, 17, 13)
  box    9 type 3 -> container 1 pos (0, 0, 7) dims (13, 17, 7)
  box   10 type 4 -> container 1 pos (0, 0, 14) dims (10, 8, 10)
  box   11 type 4 -> container 1 pos (11, 0, 14) dims (10, 8, 10)
  box   12 type 4 -> container 1 pos (13, 8, 14) dims (8, 10, 10)
  box   13 type 2 -> container 1 pos (0, 9, 14) dims (12, 9, 10)
  box   14 type 3 -> container 2 pos (0, 0, 0) dims (17, 7, 13)
  box   15 type 3 -> container 2 pos (0, 8, 0) dims (17, 7, 13)
  box   16 type 3 -> container 2 pos (0, 0, 13) dims (17, 7, 13)
  box   17 type 3 -> container 2 pos (0, 8, 13) dims (17, 7, 13)
  box   18 type 3 -> container 3 pos (0, 0, 0) dims (7, 17, 13)
  box   19 type 3 -> container 3 pos (7, 0, 0) dims (7, 13, 17)
  box   20 type 3 -> container 3 pos (16, 0, 0) dims (7, 13, 17)
  box   21 type 3 -> container 3 pos (10, 13, 0) dims (13, 7, 17)
  box   22 type 3 -> container 3 pos (0, 0, 14) dims (7, 17, 13)
  box   23 type 4 -> container 3 pos (7, 0, 17) dims (8, 10, 10)
  box   24 type 4 -> container 3 pos (15, 0, 17) dims (8, 10, 10)
  box   25 type 4 -> container 3 pos (7, 10, 17) dims (8, 10, 10)
  box   26 type 4 -> container 3 pos (15, 10, 17) dims (8, 10, 10)
