Instance: instance16
Load stability: alpha = 1.00 (full base support), form 'column'
Value model: v_i = c_i * volume_i (volume)
Boxes: 90 (3 types)
Containers: 3 (3 types)

Status: skipped (too large)
Runtime: 0.06 s
Packed value (incumbent / lower bound): 390570.0
Dual bound (MILP): 666829.6
Continuous-knapsack bound: 666829.6
Optimality gap: 41.43%
Greedy warm-start value: 390570.0
Minimum base support achieved: 100.0%

Boxes packed: 58 / 90
Volume utilization: 236580 / 428962 = 55.2%

Container 0 (type 1, 48x70x32): 8 boxes, value 78048.0, utilization 51.9%
Container 1 (type 2, 57x69x44): 40 boxes, value 227719.0, utilization 71.3%
Container 2 (type 3, 38x71x55): 10 boxes, value 84803.0, utilization 38.6%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 0 pos (0, 0, 0) dims (15, 18, 17)
  box    1 type 3 -> container 0 pos (15, 0, 0) dims (24, 26, 15)
  box    2 type 1 -> container 0 pos (0, 18, 0) dims (15, 18, 17)
  box    3 type 3 -> container 0 pos (15, 26, 0) dims (24, 26, 15)
  box    4 type 1 -> container 0 pos (0, 36, 0) dims (15, 18, 17)
  box    5 type 3 -> container 0 pos (15, 52, 0) dims (24, 15, 26)
  box    6 type 1 -> container 0 pos (15, 0, 15) dims (15, 18, 17)
  box    7 type 3 -> container 0 pos (15, 18, 15) dims (24, 26, 15)
  box    8 type 2 -> container 1 pos (0, 0, 0) dims (11, 14, 11)
  box    9 type 1 -> container 1 pos (11, 0, 0) dims (15, 18, 17)
  box   10 type 3 -> container 1 pos (26, 0, 0) dims (24, 26, 15)
  box   11 type 2 -> container 1 pos (0, 14, 0) dims (11, 14, 11)
  box   12 type 1 -> container 1 pos (11, 18, 0) dims (15, 18, 17)
  box   13 type 3 -> container 1 pos (26, 26, 0) dims (24, 26, 15)
  box   14 type 2 -> container 1 pos (0, 28, 0) dims (11, 14, 11)
  box   15 type 1 -> container 1 pos (11, 36, 0) dims (15, 18, 17)
  box   16 type 2 -> container 1 pos (0, 42, 0) dims (11, 14, 11)
  box   17 type 3 -> container 1 pos (26, 52, 0) dims (24, 15, 26)
  box   18 type 2 -> container 1 pos (11, 54, 0) dims (11, 14, 11)
  box   19 type 2 -> container 1 pos (0, 56, 0) dims (11, 11, 14)
  box   20 type 2 -> container 1 pos (0, 0, 11) dims (11, 14, 11)
  box   21 type 2 -> container 1 pos (0, 14, 11) dims (11, 14, 11)
  box   22 type 2 -> container 1 pos (0, 28, 11) dims (11, 14, 11)
  box   23 type 2 -> container 1 pos (0, 42, 11) dims (11, 14, 11)
  box   24 type 2 -> container 1 pos (11, 54, 11) dims (11, 14, 11)
  box   25 type 2 -> container 1 pos (0, 56, 14) dims (11, 11, 14)
  box   26 type 1 -> container 1 pos (26, 0, 15) dims (15, 18, 17)
  box   27 type 3 -> container 1 pos (26, 18, 15) dims (24, 26, 15)
  box   28 type 1 -> container 1 pos (11, 0, 17) dims (15, 18, 17)
  box   29 type 3 -> container 1 pos (11, 18, 17) dims (15, 24, 26)
  box   30 type 2 -> container 1 pos (11, 42, 17) dims (11, 11, 14)
  box   31 type 2 -> container 1 pos (0, 0, 22) dims (11, 14, 11)
  box   32 type 2 -> container 1 pos (0, 14, 22) dims (11, 14, 11)
  box   33 type 2 -> container 1 pos (0, 28, 22) dims (11, 14, 11)
  box   34 type 2 -> container 1 pos (0, 42, 22) dims (11, 14, 11)
  box   35 type 2 -> container 1 pos (11, 54, 22) dims (11, 14, 11)
  box   36 type 1 -> container 1 pos (26, 52, 26) dims (18, 15, 17)
  box   37 type 2 -> container 1 pos (0, 56, 28) dims (11, 11, 14)
  box   38 type 2 -> container 1 pos (26, 18, 30) dims (11, 14, 11)
  box   39 type 2 -> container 1 pos (37, 18, 30) dims (11, 14, 11)
  box   40 type 2 -> container 1 pos (26, 32, 30) dims (11, 11, 14)
  box   41 type 2 -> container 1 pos (37, 32, 30) dims (11, 11, 14)
  box   42 type 2 -> container 1 pos (26, 0, 32) dims (11, 14, 11)
  box   43 type 2 -> container 1 pos (0, 0, 33) dims (11, 14, 11)
  box   44 type 2 -> container 1 pos (0, 14, 33) dims (11, 14, 11)
  box   45 type 2 -> container 1 pos (0, 28, 33) dims (11, 14, 11)
  box   46 type 2 -> container 1 pos (0, 42, 33) dims (11, 14, 11)
  box   47 type 2 -> container 1 pos (11, 54, 33) dims (11, 14, 11)
  box   48 type 2 -> container 2 pos (0, 0, 0) dims (11, 14, 11)
  box   49 type 1 -> container 2 pos (11, 0, 0) dims (15, 18, 17)
  box   50 type 3 -> container 2 pos (11, 18, 0) dims (24, 26, 15)
  box   51 type 1 -> container 2 pos (11, 44, 0) dims (15, 18, 17)
  box   52 type 3 -> container 2 pos (11, 18, 15) dims (24, 26, 15)
  box   53 type 1 -> container 2 pos (11, 0, 17) dims (15, 18, 17)
  box   54 type 1 -> container 2 pos (11, 44, 17) dims (15, 18, 17)
  box   55 type 3 -> container 2 pos (11, 18, 30) dims (24, 26, 15)
  box   56 type 1 -> container 2 pos (11, 0, 34) dims (15, 18, 17)
  box   57 type 1 -> container 2 pos (11, 44, 34) dims (15, 18, 17)
