Instance: instance08
Solver: simulated annealing (sequence decoder)
Orientation constraint: THIS WAY UP - boxes may only rotate about the vertical axis
Value model: v_i = c_i * volume_i (volume)
Boxes: 175 (6 types)
Containers: 5 (3 types)

Runtime: 30.00 s
Packed value (SA incumbent / lower bound): 60997.8
Continuous-knapsack bound: 77986.8
Gap to that bound: 21.78%
Greedy (initial decode) value: 59154.4
SA improvement over greedy: +1843.4

SA parameters and statistics:
  T0: 1592.45
  alpha: 0.999, reheat threshold: 5753
  iterations: 33962 (1132 it/s)
  accepted: 22814, rejected: 11147, no-move draws: 0, reheats: 4
  seed: 1
  verification: ok

Boxes packed: 108 / 175
Volume utilization: 36911 / 41120 = 89.8%

Container 0 (type 1, 17x16x20): 10 boxes, value 6964.6, utilization 89.0%
Container 1 (type 1, 17x16x20): 16 boxes, value 7292.4, utilization 90.3%
Container 2 (type 2, 23x18x30): 36 boxes, value 19255.2, utilization 90.1%
Container 3 (type 2, 23x18x30): 36 boxes, value 19255.2, utilization 90.1%
Container 4 (type 3, 15x12x30): 10 boxes, value 8230.4, utilization 88.4%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 1 pos (10, 0, 8) dims (6, 8, 11)
  box    7 type 1 -> container 0 pos (10, 8, 0) dims (6, 8, 11)
  box   10 type 1 -> container 1 pos (10, 8, 8) dims (6, 8, 11)
  box   13 type 1 -> container 0 pos (10, 0, 0) dims (6, 8, 11)
  box   34 type 2 -> container 0 pos (12, 0, 11) dims (5, 15, 9)
  box   37 type 3 -> container 1 pos (0, 12, 0) dims (13, 4, 7)
  box   38 type 3 -> container 2 pos (0, 14, 8) dims (13, 4, 7)
  box   39 type 3 -> container 2 pos (17, 0, 22) dims (4, 13, 7)
  box   40 type 3 -> container 2 pos (0, 12, 0) dims (13, 4, 7)
  box   41 type 3 -> container 3 pos (0, 12, 0) dims (13, 4, 7)
  box   42 type 3 -> container 3 pos (17, 0, 22) dims (4, 13, 7)
  box   43 type 3 -> container 3 pos (0, 14, 8) dims (13, 4, 7)
  box   44 type 3 -> container 2 pos (0, 14, 22) dims (13, 4, 7)
  box   45 type 3 -> container 2 pos (13, 0, 22) dims (4, 13, 7)
  box   46 type 3 -> container 2 pos (0, 14, 15) dims (13, 4, 7)
  box   47 type 3 -> container 3 pos (0, 14, 15) dims (13, 4, 7)
  box   48 type 3 -> container 3 pos (0, 14, 22) dims (13, 4, 7)
  box   49 type 3 -> container 3 pos (13, 0, 22) dims (4, 13, 7)
  box   51 type 4 -> container 1 pos (0, 0, 0) dims (13, 12, 8)
  box   53 type 4 -> container 3 pos (0, 0, 0) dims (13, 12, 8)
  box   64 type 4 -> container 2 pos (0, 0, 0) dims (13, 12, 8)
  box   69 type 4 -> container 4 pos (0, 0, 22) dims (13, 12, 8)
  box   71 type 4 -> container 0 pos (0, 0, 11) dims (12, 13, 8)
  box   75 type 5 -> container 2 pos (13, 0, 0) dims (10, 14, 11)
  box   76 type 5 -> container 3 pos (13, 0, 0) dims (10, 14, 11)
  box   77 type 5 -> container 2 pos (0, 0, 8) dims (10, 14, 11)
  box   79 type 5 -> container 3 pos (13, 0, 11) dims (10, 14, 11)
  box   80 type 5 -> container 3 pos (0, 0, 8) dims (10, 14, 11)
  box   81 type 5 -> container 0 pos (0, 0, 0) dims (10, 14, 11)
  box   82 type 5 -> container 3 pos (0, 0, 19) dims (10, 14, 11)
  box   84 type 5 -> container 2 pos (0, 0, 19) dims (10, 14, 11)
  box   86 type 5 -> container 4 pos (0, 0, 0) dims (14, 10, 11)
  box   88 type 5 -> container 4 pos (0, 0, 11) dims (14, 10, 11)
  box   89 type 5 -> container 1 pos (0, 0, 8) dims (10, 14, 11)
  box   90 type 5 -> container 2 pos (13, 0, 11) dims (10, 14, 11)
  box   95 type 6 -> container 4 pos (0, 10, 8) dims (8, 2, 4)
  box   96 type 6 -> container 3 pos (10, 0, 12) dims (2, 8, 4)
  box   97 type 6 -> container 3 pos (8, 16, 0) dims (8, 2, 4)
  box   98 type 6 -> container 3 pos (21, 8, 22) dims (2, 8, 4)
  box   99 type 6 -> container 1 pos (13, 8, 0) dims (2, 8, 4)
  box  100 type 6 -> container 3 pos (13, 14, 16) dims (8, 2, 4)
  box  101 type 6 -> container 1 pos (15, 8, 4) dims (2, 8, 4)
  box  102 type 6 -> container 0 pos (0, 14, 8) dims (8, 2, 4)
  box  103 type 6 -> container 2 pos (13, 14, 0) dims (8, 2, 4)
  box  104 type 6 -> container 3 pos (13, 14, 8) dims (8, 2, 4)
  box  105 type 6 -> container 3 pos (13, 16, 20) dims (8, 2, 4)
  box  106 type 6 -> container 4 pos (0, 10, 0) dims (8, 2, 4)
  box  108 type 6 -> container 2 pos (13, 16, 20) dims (8, 2, 4)
  box  109 type 6 -> container 3 pos (10, 0, 24) dims (2, 8, 4)
  box  110 type 6 -> container 3 pos (13, 14, 20) dims (8, 2, 4)
  box  112 type 6 -> container 3 pos (13, 14, 12) dims (8, 2, 4)
  box  113 type 6 -> container 2 pos (0, 16, 4) dims (8, 2, 4)
  box  114 type 6 -> container 1 pos (13, 0, 4) dims (2, 8, 4)
  box  115 type 6 -> container 3 pos (10, 0, 8) dims (2, 8, 4)
  box  117 type 6 -> container 2 pos (21, 0, 22) dims (2, 8, 4)
  box  118 type 6 -> container 1 pos (15, 8, 0) dims (2, 8, 4)
  box  119 type 6 -> container 2 pos (10, 0, 20) dims (2, 8, 4)
  box  120 type 6 -> container 2 pos (13, 16, 16) dims (8, 2, 4)
  box  121 type 6 -> container 2 pos (10, 0, 8) dims (2, 8, 4)
  box  122 type 6 -> container 2 pos (10, 0, 16) dims (2, 8, 4)
  box  123 type 6 -> container 2 pos (13, 14, 24) dims (8, 2, 4)
  box  124 type 6 -> container 2 pos (21, 0, 26) dims (2, 8, 4)
  box  125 type 6 -> container 3 pos (13, 14, 0) dims (8, 2, 4)
  box  126 type 6 -> container 4 pos (13, 0, 22) dims (2, 8, 4)
  box  127 type 6 -> container 3 pos (0, 16, 4) dims (8, 2, 4)
  box  128 type 6 -> container 0 pos (0, 14, 12) dims (8, 2, 4)
  box  129 type 6 -> container 1 pos (13, 0, 0) dims (2, 8, 4)
  box  130 type 6 -> container 0 pos (0, 14, 16) dims (8, 2, 4)
  box  131 type 6 -> container 2 pos (0, 16, 0) dims (8, 2, 4)
  box  132 type 6 -> container 3 pos (0, 16, 0) dims (8, 2, 4)
  box  133 type 6 -> container 2 pos (21, 8, 22) dims (2, 8, 4)
  box  134 type 6 -> container 2 pos (13, 16, 24) dims (8, 2, 4)
  box  135 type 6 -> container 2 pos (13, 14, 16) dims (8, 2, 4)
  box  136 type 6 -> container 3 pos (10, 0, 20) dims (2, 8, 4)
  box  137 type 6 -> container 2 pos (13, 16, 8) dims (8, 2, 4)
  box  138 type 6 -> container 2 pos (10, 0, 24) dims (2, 8, 4)
  box  139 type 6 -> container 1 pos (13, 8, 4) dims (2, 8, 4)
  box  140 type 6 -> container 3 pos (8, 16, 4) dims (8, 2, 4)
  box  141 type 6 -> container 3 pos (13, 14, 24) dims (8, 2, 4)
  box  143 type 6 -> container 2 pos (8, 16, 0) dims (8, 2, 4)
  box  144 type 6 -> container 2 pos (13, 14, 12) dims (8, 2, 4)
  box  145 type 6 -> container 2 pos (13, 14, 20) dims (8, 2, 4)
  box  146 type 6 -> container 4 pos (13, 0, 26) dims (2, 8, 4)
  box  147 type 6 -> container 3 pos (13, 14, 4) dims (8, 2, 4)
  box  148 type 6 -> container 3 pos (13, 16, 24) dims (8, 2, 4)
  box  149 type 6 -> container 3 pos (10, 0, 16) dims (2, 8, 4)
  box  150 type 6 -> container 2 pos (13, 14, 4) dims (8, 2, 4)
  box  151 type 6 -> container 4 pos (0, 10, 16) dims (8, 2, 4)
  box  152 type 6 -> container 3 pos (21, 8, 26) dims (2, 8, 4)
  box  153 type 6 -> container 0 pos (0, 14, 4) dims (8, 2, 4)
  box  155 type 6 -> container 3 pos (21, 0, 26) dims (2, 8, 4)
  box  156 type 6 -> container 3 pos (13, 16, 8) dims (8, 2, 4)
  box  157 type 6 -> container 3 pos (13, 16, 12) dims (8, 2, 4)
  box  158 type 6 -> container 1 pos (0, 14, 16) dims (8, 2, 4)
  box  159 type 6 -> container 2 pos (13, 16, 12) dims (8, 2, 4)
  box  160 type 6 -> container 4 pos (0, 10, 4) dims (8, 2, 4)
  box  161 type 6 -> container 1 pos (0, 14, 8) dims (8, 2, 4)
  box  162 type 6 -> container 3 pos (13, 16, 16) dims (8, 2, 4)
  box  163 type 6 -> container 2 pos (8, 16, 4) dims (8, 2, 4)
  box  164 type 6 -> container 2 pos (10, 0, 12) dims (2, 8, 4)
  box  165 type 6 -> container 2 pos (13, 14, 8) dims (8, 2, 4)
  box  166 type 6 -> container 2 pos (21, 8, 26) dims (2, 8, 4)
  box  167 type 6 -> container 0 pos (0, 14, 0) dims (8, 2, 4)
  box  170 type 6 -> container 1 pos (0, 14, 12) dims (8, 2, 4)
  box  171 type 6 -> container 4 pos (0, 10, 12) dims (8, 2, 4)
  box  172 type 6 -> container 1 pos (15, 0, 4) dims (2, 8, 4)
  box  173 type 6 -> container 1 pos (15, 0, 0) dims (2, 8, 4)
  box  174 type 6 -> container 3 pos (21, 0, 22) dims (2, 8, 4)
