Instance: instance16
Solver: simulated annealing (sequence decoder)
Orientation constraint: THIS WAY UP - boxes may only rotate about the vertical axis
Value model: v_i = c_i * volume_i (volume)
Boxes: 90 (3 types)
Containers: 3 (3 types)

Runtime: 30.00 s
Packed value (SA incumbent / lower bound): 556746.0
Continuous-knapsack bound: 666829.6
Gap to that bound: 16.51%
Greedy (initial decode) value: 505770.0
SA improvement over greedy: +50976.0

SA parameters and statistics:
  T0: 56425.86
  alpha: 0.999, reheat threshold: 5753
  iterations: 44472 (1482 it/s)
  accepted: 22340, rejected: 22131, no-move draws: 0, reheats: 6
  seed: 1
  verification: ok

Boxes packed: 78 / 90
Volume utilization: 347460 / 428962 = 81.0%

Container 0 (type 1, 48x70x32): 14 boxes, value 132081.0, utilization 87.2%
Container 1 (type 2, 57x69x44): 33 boxes, value 222625.0, utilization 77.4%
Container 2 (type 3, 38x71x55): 31 boxes, value 202040.0, utilization 80.7%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 1 pos (15, 18, 0) dims (15, 18, 17)
  box    1 type 1 -> container 1 pos (36, 54, 0) dims (18, 15, 17)
  box    2 type 1 -> container 2 pos (0, 0, 0) dims (18, 15, 17)
  box    3 type 1 -> container 2 pos (18, 41, 0) dims (18, 15, 17)
  box    4 type 1 -> container 1 pos (0, 36, 0) dims (15, 18, 17)
  box    5 type 1 -> container 2 pos (18, 0, 17) dims (18, 15, 17)
  box    7 type 1 -> container 1 pos (18, 54, 0) dims (18, 15, 17)
  box    8 type 1 -> container 1 pos (15, 51, 17) dims (15, 18, 17)
  box    9 type 1 -> container 1 pos (0, 36, 17) dims (18, 15, 17)
  box   10 type 1 -> container 1 pos (15, 0, 17) dims (15, 18, 17)
  box   11 type 1 -> container 2 pos (18, 0, 0) dims (18, 15, 17)
  box   12 type 1 -> container 1 pos (0, 54, 0) dims (18, 15, 17)
  box   13 type 1 -> container 1 pos (30, 24, 0) dims (18, 15, 17)
  box   14 type 1 -> container 2 pos (18, 56, 0) dims (18, 15, 17)
  box   15 type 1 -> container 1 pos (0, 18, 0) dims (15, 18, 17)
  box   16 type 1 -> container 1 pos (0, 51, 17) dims (15, 18, 17)
  box   17 type 1 -> container 1 pos (0, 18, 17) dims (15, 18, 17)
  box   19 type 1 -> container 1 pos (30, 39, 0) dims (18, 15, 17)
  box   20 type 1 -> container 1 pos (30, 0, 15) dims (18, 15, 17)
  box   21 type 1 -> container 0 pos (15, 52, 0) dims (18, 15, 17)
  box   22 type 1 -> container 1 pos (15, 18, 17) dims (15, 18, 17)
  box   24 type 1 -> container 1 pos (15, 0, 0) dims (15, 18, 17)
  box   25 type 1 -> container 1 pos (15, 36, 0) dims (15, 18, 17)
  box   26 type 1 -> container 2 pos (0, 0, 17) dims (18, 15, 17)
  box   27 type 1 -> container 2 pos (0, 41, 0) dims (18, 15, 17)
  box   28 type 1 -> container 2 pos (0, 0, 34) dims (18, 15, 17)
  box   29 type 1 -> container 2 pos (18, 0, 34) dims (18, 15, 17)
  box   30 type 1 -> container 2 pos (0, 56, 0) dims (18, 15, 17)
  box   31 type 1 -> container 0 pos (0, 52, 0) dims (15, 18, 17)
  box   32 type 1 -> container 1 pos (0, 0, 17) dims (15, 18, 17)
  box   33 type 1 -> container 1 pos (0, 0, 0) dims (15, 18, 17)
  box   34 type 1 -> container 0 pos (33, 52, 0) dims (15, 18, 17)
  box   35 type 2 -> container 2 pos (24, 29, 44) dims (14, 11, 11)
  box   36 type 2 -> container 2 pos (26, 41, 43) dims (11, 14, 11)
  box   37 type 2 -> container 0 pos (0, 52, 17) dims (14, 11, 11)
  box   38 type 2 -> container 1 pos (41, 36, 32) dims (11, 14, 11)
  box   39 type 2 -> container 2 pos (24, 29, 11) dims (14, 11, 11)
  box   40 type 2 -> container 2 pos (24, 15, 22) dims (14, 11, 11)
  box   41 type 2 -> container 1 pos (41, 22, 32) dims (11, 14, 11)
  box   42 type 2 -> container 1 pos (41, 11, 32) dims (14, 11, 11)
  box   43 type 2 -> container 2 pos (26, 41, 32) dims (11, 14, 11)
  box   44 type 2 -> container 1 pos (18, 36, 28) dims (11, 14, 11)
  box   45 type 2 -> container 2 pos (24, 15, 11) dims (11, 14, 11)
  box   46 type 2 -> container 0 pos (25, 52, 17) dims (14, 11, 11)
  box   47 type 2 -> container 2 pos (26, 55, 32) dims (11, 14, 11)
  box   48 type 2 -> container 1 pos (41, 0, 32) dims (14, 11, 11)
  box   49 type 2 -> container 1 pos (41, 50, 32) dims (11, 14, 11)
  box   50 type 2 -> container 0 pos (14, 52, 17) dims (11, 14, 11)
  box   51 type 2 -> container 2 pos (24, 26, 22) dims (11, 14, 11)
  box   52 type 2 -> container 1 pos (30, 0, 32) dims (11, 14, 11)
  box   53 type 2 -> container 2 pos (24, 26, 0) dims (14, 11, 11)
  box   54 type 2 -> container 2 pos (24, 52, 17) dims (14, 11, 11)
  box   55 type 2 -> container 2 pos (24, 15, 44) dims (11, 14, 11)
  box   56 type 2 -> container 2 pos (24, 15, 0) dims (14, 11, 11)
  box   57 type 2 -> container 1 pos (30, 28, 32) dims (11, 14, 11)
  box   58 type 2 -> container 2 pos (26, 55, 43) dims (11, 14, 11)
  box   59 type 2 -> container 1 pos (30, 42, 32) dims (11, 14, 11)
  box   60 type 2 -> container 1 pos (18, 36, 17) dims (11, 14, 11)
  box   61 type 2 -> container 1 pos (30, 14, 32) dims (11, 14, 11)
  box   62 type 2 -> container 2 pos (24, 41, 17) dims (14, 11, 11)
  box   63 type 2 -> container 2 pos (24, 15, 33) dims (14, 11, 11)
  box   64 type 2 -> container 2 pos (24, 26, 33) dims (14, 11, 11)
  box   66 type 3 -> container 2 pos (0, 15, 30) dims (24, 26, 15)
  box   67 type 3 -> container 0 pos (24, 26, 15) dims (24, 26, 15)
  box   68 type 3 -> container 2 pos (0, 41, 32) dims (26, 24, 15)
  box   69 type 3 -> container 2 pos (0, 15, 0) dims (24, 26, 15)
  box   74 type 3 -> container 0 pos (24, 0, 15) dims (24, 26, 15)
  box   75 type 3 -> container 0 pos (24, 26, 0) dims (24, 26, 15)
  box   77 type 3 -> container 0 pos (24, 0, 0) dims (24, 26, 15)
  box   78 type 3 -> container 0 pos (0, 26, 15) dims (24, 26, 15)
  box   79 type 3 -> container 0 pos (0, 0, 0) dims (24, 26, 15)
  box   82 type 3 -> container 1 pos (30, 0, 0) dims (26, 24, 15)
  box   83 type 3 -> container 1 pos (30, 44, 17) dims (26, 24, 15)
  box   84 type 3 -> container 2 pos (0, 41, 17) dims (24, 26, 15)
  box   85 type 3 -> container 0 pos (0, 0, 15) dims (24, 26, 15)
  box   86 type 3 -> container 2 pos (0, 15, 15) dims (24, 26, 15)
  box   88 type 3 -> container 1 pos (30, 18, 17) dims (24, 26, 15)
  box   89 type 3 -> container 0 pos (0, 26, 0) dims (24, 26, 15)
