Instance: instance16
Orientation constraint: THIS WAY UP - boxes may only rotate about the vertical axis
Value model: v_i = c_i * volume_i (volume)
Boxes: 90 (3 types)
Containers: 3 (3 types)

Status: time limit
Runtime: 301.39 s
Packed value (incumbent / lower bound): 505770.0
Dual bound (MILP): 663954.0
Continuous-knapsack bound: 666829.6
Optimality gap: 23.82%
Greedy warm-start value: 505770.0

Boxes packed: 75 / 90
Volume utilization: 305070 / 428962 = 71.1%

Container 0 (type 1, 48x70x32): 10 boxes, value 112032.0, utilization 78.2%
Container 1 (type 2, 57x69x44): 41 boxes, value 217482.0, utilization 64.1%
Container 2 (type 3, 38x71x55): 24 boxes, value 176256.0, utilization 74.2%

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 1 pos (11, 14, 11) dims (15, 18, 17)
  box    1 type 1 -> container 1 pos (26, 14, 11) dims (15, 18, 17)
  box    2 type 1 -> container 1 pos (41, 14, 11) dims (15, 18, 17)
  box    3 type 1 -> container 1 pos (11, 32, 11) dims (15, 18, 17)
  box    4 type 1 -> container 1 pos (26, 32, 11) dims (15, 18, 17)
  box    5 type 1 -> container 1 pos (41, 32, 11) dims (15, 18, 17)
  box    6 type 1 -> container 1 pos (11, 50, 11) dims (15, 18, 17)
  box    7 type 1 -> container 1 pos (26, 50, 11) dims (15, 18, 17)
  box    8 type 1 -> container 1 pos (41, 50, 11) dims (15, 18, 17)
  box    9 type 1 -> container 2 pos (0, 0, 0) dims (15, 18, 17)
  box   10 type 1 -> container 2 pos (15, 0, 0) dims (15, 18, 17)
  box   11 type 1 -> container 2 pos (0, 18, 0) dims (15, 18, 17)
  box   12 type 1 -> container 2 pos (15, 18, 0) dims (15, 18, 17)
  box   13 type 1 -> container 2 pos (0, 36, 0) dims (15, 18, 17)
  box   14 type 1 -> container 2 pos (15, 36, 0) dims (15, 18, 17)
  box   15 type 1 -> container 2 pos (0, 54, 0) dims (18, 15, 17)
  box   16 type 1 -> container 2 pos (18, 54, 0) dims (18, 15, 17)
  box   17 type 1 -> container 2 pos (0, 0, 17) dims (15, 18, 17)
  box   18 type 1 -> container 2 pos (15, 0, 17) dims (15, 18, 17)
  box   19 type 1 -> container 2 pos (0, 18, 17) dims (15, 18, 17)
  box   20 type 1 -> container 2 pos (15, 18, 17) dims (15, 18, 17)
  box   21 type 1 -> container 2 pos (0, 36, 17) dims (15, 18, 17)
  box   22 type 1 -> container 2 pos (15, 36, 17) dims (15, 18, 17)
  box   23 type 1 -> container 2 pos (0, 54, 17) dims (18, 15, 17)
  box   24 type 1 -> container 2 pos (18, 54, 17) dims (18, 15, 17)
  box   25 type 1 -> container 2 pos (0, 0, 34) dims (15, 18, 17)
  box   26 type 1 -> container 2 pos (15, 0, 34) dims (15, 18, 17)
  box   27 type 1 -> container 2 pos (0, 18, 34) dims (15, 18, 17)
  box   28 type 1 -> container 2 pos (15, 18, 34) dims (15, 18, 17)
  box   29 type 1 -> container 2 pos (0, 36, 34) dims (15, 18, 17)
  box   30 type 1 -> container 2 pos (15, 36, 34) dims (15, 18, 17)
  box   31 type 1 -> container 2 pos (0, 54, 34) dims (18, 15, 17)
  box   32 type 1 -> container 2 pos (18, 54, 34) dims (18, 15, 17)
  box   33 type 1 -> container 0 pos (0, 0, 0) dims (15, 18, 17)
  box   34 type 1 -> container 0 pos (15, 0, 0) dims (15, 18, 17)
  box   35 type 2 -> container 1 pos (0, 0, 0) dims (11, 14, 11)
  box   36 type 2 -> container 1 pos (11, 0, 0) dims (11, 14, 11)
  box   37 type 2 -> container 1 pos (22, 0, 0) dims (11, 14, 11)
  box   38 type 2 -> container 1 pos (33, 0, 0) dims (11, 14, 11)
  box   39 type 2 -> container 1 pos (44, 0, 0) dims (11, 14, 11)
  box   40 type 2 -> container 1 pos (0, 14, 0) dims (11, 14, 11)
  box   41 type 2 -> container 1 pos (11, 14, 0) dims (11, 14, 11)
  box   42 type 2 -> container 1 pos (22, 14, 0) dims (11, 14, 11)
  box   43 type 2 -> container 1 pos (33, 14, 0) dims (11, 14, 11)
  box   44 type 2 -> container 1 pos (44, 14, 0) dims (11, 14, 11)
  box   45 type 2 -> container 1 pos (0, 28, 0) dims (11, 14, 11)
  box   46 type 2 -> container 1 pos (11, 28, 0) dims (11, 14, 11)
  box   47 type 2 -> container 1 pos (22, 28, 0) dims (11, 14, 11)
  box   48 type 2 -> container 1 pos (33, 28, 0) dims (11, 14, 11)
  box   49 type 2 -> container 1 pos (44, 28, 0) dims (11, 14, 11)
  box   50 type 2 -> container 1 pos (0, 42, 0) dims (11, 14, 11)
  box   51 type 2 -> container 1 pos (11, 42, 0) dims (11, 14, 11)
  box   52 type 2 -> container 1 pos (22, 42, 0) dims (11, 14, 11)
  box   53 type 2 -> container 1 pos (33, 42, 0) dims (11, 14, 11)
  box   54 type 2 -> container 1 pos (44, 42, 0) dims (11, 14, 11)
  box   55 type 2 -> container 1 pos (0, 56, 0) dims (14, 11, 11)
  box   56 type 2 -> container 1 pos (14, 56, 0) dims (14, 11, 11)
  box   57 type 2 -> container 1 pos (28, 56, 0) dims (14, 11, 11)
  box   58 type 2 -> container 1 pos (42, 56, 0) dims (14, 11, 11)
  box   59 type 2 -> container 1 pos (0, 0, 11) dims (11, 14, 11)
  box   60 type 2 -> container 1 pos (11, 0, 11) dims (11, 14, 11)
  box   61 type 2 -> container 1 pos (22, 0, 11) dims (11, 14, 11)
  box   62 type 2 -> container 1 pos (33, 0, 11) dims (11, 14, 11)
  box   63 type 2 -> container 1 pos (44, 0, 11) dims (11, 14, 11)
  box   64 type 2 -> container 1 pos (0, 14, 11) dims (11, 14, 11)
  box   65 type 3 -> container 1 pos (11, 14, 28) dims (24, 26, 15)
  box   66 type 3 -> container 1 pos (11, 40, 28) dims (24, 26, 15)
  box   67 type 3 -> container 0 pos (0, 18, 0) dims (24, 26, 15)
  box   68 type 3 -> container 0 pos (24, 18, 0) dims (24, 26, 15)
  box   69 type 3 -> container 0 pos (0, 44, 0) dims (24, 26, 15)
  box   70 type 3 -> container 0 pos (24, 44, 0) dims (24, 26, 15)
  box   71 type 3 -> container 0 pos (0, 18, 15) dims (24, 26, 15)
  box   72 type 3 -> container 0 pos (24, 18, 15) dims (24, 26, 15)
  box   73 type 3 -> container 0 pos (0, 44, 15) dims (24, 26, 15)
  box   74 type 3 -> container 0 pos (24, 44, 15) dims (24, 26, 15)
