Instance: problem06d
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (3 types), total box volume 116880
Container types: 1 (unlimited supply per type)
  type 3: 30x20x30, volume 18000, cost 1800.0

Run started: 2026-09-13 18:44:00
Command: Bortfeldt-SA.py --instance-files /home/mcaspar/3DMHKP/Ivancic/problem06d.txt --time-limit 90.0 --results-dir /home/mcaspar/3DMHKP/results_Bortfeldt_SA
Time limit: 90.0 s per instance
Runtime: 90.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 7
  Containers by type: Typ3=7
  Total container volume: 126000
  Total container cost: 12600.0
  Volume utilization: 116880 / 126000 = 92.8%
  Mean per-container utilization: 92.8%

Greedy (initial decode) cost: 18000.0
SA improvement over greedy: -5400.0
Best found at iteration 2486 (2.0 s)

SA parameters:
  T0: 900.00 (5% of f(S_0), no worsening draw sampled)
  schedule: time-based, T0 -> 0.0000 over 90s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 887247580

SA statistics:
  iterations: 133010 in 90.00 s (1477.9 it/s)
  accepted: 36602 (of which neutral 36555), rejected: 96408, no-move draws: 0
  reheats: 43
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 3 30x20x30 dest -: 15 boxes, volume 16800/18000 (93.3%)
  container   1 type 3 30x20x30 dest -: 12 boxes, volume 16800/18000 (93.3%)
  container   2 type 3 30x20x30 dest -: 13 boxes, volume 16320/18000 (90.7%)
  container   3 type 3 30x20x30 dest -: 12 boxes, volume 16320/18000 (90.7%)
  container   4 type 3 30x20x30 dest -: 15 boxes, volume 17280/18000 (96.0%)
  container   5 type 3 30x20x30 dest -: 17 boxes, volume 17280/18000 (96.0%)
  container   6 type 3 30x20x30 dest -: 11 boxes, volume 16080/18000 (89.3%)

Placements (box, type, container, position, oriented dims):
  box   43 type 2 -> container 0 pos (0, 0, 0) dims (14, 12, 10)
  box   91 type 3 -> container 0 pos (14, 0, 0) dims (8, 10, 6)
  box   24 type 1 -> container 0 pos (22, 0, 0) dims (8, 10, 18)
  box   11 type 1 -> container 0 pos (14, 10, 0) dims (8, 10, 18)
  box   33 type 2 -> container 0 pos (0, 0, 10) dims (14, 12, 10)
  box   45 type 2 -> container 0 pos (14, 10, 18) dims (14, 10, 12)
  box   50 type 2 -> container 0 pos (0, 0, 20) dims (14, 12, 10)
  box    1 type 1 -> container 0 pos (22, 10, 0) dims (8, 10, 18)
  box   23 type 1 -> container 0 pos (0, 12, 0) dims (10, 8, 18)
  box   14 type 1 -> container 0 pos (14, 0, 6) dims (8, 10, 18)
  box   74 type 3 -> container 0 pos (22, 0, 18) dims (8, 10, 6)
  box   88 type 3 -> container 0 pos (0, 12, 18) dims (6, 8, 10)
  box   81 type 3 -> container 0 pos (6, 12, 18) dims (6, 8, 10)
  box   82 type 3 -> container 0 pos (14, 0, 24) dims (8, 10, 6)
  box   77 type 3 -> container 0 pos (22, 0, 24) dims (8, 10, 6)
  box   41 type 2 -> container 1 pos (0, 0, 0) dims (14, 12, 10)
  box   44 type 2 -> container 1 pos (14, 0, 0) dims (14, 12, 10)
  box   57 type 2 -> container 1 pos (0, 0, 10) dims (14, 12, 10)
  box   40 type 2 -> container 1 pos (14, 0, 10) dims (14, 12, 10)
  box   32 type 2 -> container 1 pos (0, 0, 20) dims (14, 12, 10)
  box   29 type 2 -> container 1 pos (14, 0, 20) dims (14, 12, 10)
  box    3 type 1 -> container 1 pos (0, 12, 0) dims (18, 8, 10)
  box    7 type 1 -> container 1 pos (18, 12, 0) dims (10, 8, 18)
  box   20 type 1 -> container 1 pos (0, 12, 10) dims (18, 8, 10)
  box   12 type 1 -> container 1 pos (0, 12, 20) dims (18, 8, 10)
  box   65 type 3 -> container 1 pos (18, 12, 18) dims (6, 8, 10)
  box   92 type 3 -> container 1 pos (24, 12, 18) dims (6, 8, 10)
  box   54 type 2 -> container 2 pos (0, 0, 0) dims (14, 12, 10)
  box   62 type 2 -> container 2 pos (14, 0, 0) dims (14, 12, 10)
  box   35 type 2 -> container 2 pos (0, 0, 10) dims (14, 12, 10)
  box   28 type 2 -> container 2 pos (14, 0, 10) dims (14, 12, 10)
  box   55 type 2 -> container 2 pos (0, 0, 20) dims (14, 12, 10)
  box   15 type 1 -> container 2 pos (0, 12, 0) dims (18, 8, 10)
  box    4 type 1 -> container 2 pos (18, 12, 0) dims (10, 8, 18)
  box   53 type 2 -> container 2 pos (14, 0, 20) dims (14, 12, 10)
  box   83 type 3 -> container 2 pos (0, 12, 10) dims (6, 8, 10)
  box   13 type 1 -> container 2 pos (6, 12, 10) dims (10, 8, 18)
  box   69 type 3 -> container 2 pos (18, 12, 18) dims (6, 8, 10)
  box   90 type 3 -> container 2 pos (24, 12, 18) dims (6, 8, 10)
  box   76 type 3 -> container 2 pos (0, 12, 20) dims (6, 8, 10)
  box   51 type 2 -> container 3 pos (0, 0, 0) dims (14, 12, 10)
  box   36 type 2 -> container 3 pos (14, 0, 0) dims (14, 12, 10)
  box   31 type 2 -> container 3 pos (0, 0, 10) dims (14, 12, 10)
  box   16 type 1 -> container 3 pos (0, 12, 0) dims (18, 8, 10)
  box   26 type 1 -> container 3 pos (18, 12, 0) dims (10, 8, 18)
  box   19 type 1 -> container 3 pos (14, 0, 10) dims (8, 10, 18)
  box   30 type 2 -> container 3 pos (0, 0, 20) dims (14, 12, 10)
  box   21 type 1 -> container 3 pos (22, 0, 10) dims (8, 10, 18)
  box   10 type 1 -> container 3 pos (0, 12, 10) dims (18, 8, 10)
  box   67 type 3 -> container 3 pos (18, 12, 18) dims (6, 8, 10)
  box    9 type 1 -> container 3 pos (0, 12, 20) dims (18, 8, 10)
  box   93 type 3 -> container 3 pos (24, 12, 18) dims (6, 8, 10)
  box   39 type 2 -> container 4 pos (0, 0, 0) dims (14, 12, 10)
  box   48 type 2 -> container 4 pos (14, 0, 0) dims (14, 12, 10)
  box   68 type 3 -> container 4 pos (0, 12, 0) dims (6, 8, 10)
  box    8 type 1 -> container 4 pos (6, 12, 0) dims (18, 8, 10)
  box   38 type 2 -> container 4 pos (0, 0, 10) dims (14, 12, 10)
  box   34 type 2 -> container 4 pos (14, 0, 10) dims (14, 12, 10)
  box   37 type 2 -> container 4 pos (0, 0, 20) dims (14, 12, 10)
  box   86 type 3 -> container 4 pos (24, 12, 0) dims (6, 8, 10)
  box   42 type 2 -> container 4 pos (14, 0, 20) dims (14, 12, 10)
  box   75 type 3 -> container 4 pos (0, 12, 10) dims (6, 8, 10)
  box   25 type 1 -> container 4 pos (6, 12, 10) dims (18, 8, 10)
  box   84 type 3 -> container 4 pos (24, 12, 10) dims (6, 8, 10)
  box   27 type 1 -> container 4 pos (0, 12, 20) dims (18, 8, 10)
  box   85 type 3 -> container 4 pos (18, 12, 20) dims (6, 8, 10)
  box   72 type 3 -> container 4 pos (24, 12, 20) dims (6, 8, 10)
  box   52 type 2 -> container 5 pos (0, 0, 0) dims (14, 12, 10)
  box   47 type 2 -> container 5 pos (14, 0, 0) dims (14, 12, 10)
  box   63 type 2 -> container 5 pos (0, 0, 10) dims (14, 12, 10)
  box   46 type 2 -> container 5 pos (14, 0, 10) dims (14, 12, 10)
  box   64 type 2 -> container 5 pos (0, 0, 20) dims (14, 12, 10)
  box    0 type 1 -> container 5 pos (0, 12, 0) dims (18, 8, 10)
  box   94 type 3 -> container 5 pos (18, 12, 0) dims (6, 8, 10)
  box   49 type 2 -> container 5 pos (14, 0, 20) dims (14, 12, 10)
  box   89 type 3 -> container 5 pos (24, 12, 0) dims (6, 8, 10)
  box   79 type 3 -> container 5 pos (0, 12, 10) dims (6, 8, 10)
  box   73 type 3 -> container 5 pos (6, 12, 10) dims (6, 8, 10)
  box   78 type 3 -> container 5 pos (12, 12, 10) dims (6, 8, 10)
  box   71 type 3 -> container 5 pos (18, 12, 10) dims (6, 8, 10)
  box   87 type 3 -> container 5 pos (24, 12, 10) dims (6, 8, 10)
  box   80 type 3 -> container 5 pos (0, 12, 20) dims (6, 8, 10)
  box   17 type 1 -> container 5 pos (6, 12, 20) dims (18, 8, 10)
  box   70 type 3 -> container 5 pos (24, 12, 20) dims (6, 8, 10)
  box   61 type 2 -> container 6 pos (0, 0, 0) dims (14, 12, 10)
  box   18 type 1 -> container 6 pos (14, 0, 0) dims (8, 10, 18)
  box    6 type 1 -> container 6 pos (22, 0, 0) dims (8, 10, 18)
  box   59 type 2 -> container 6 pos (14, 10, 0) dims (14, 10, 12)
  box   56 type 2 -> container 6 pos (0, 0, 10) dims (14, 12, 10)
  box   22 type 1 -> container 6 pos (0, 12, 0) dims (10, 8, 18)
  box    2 type 1 -> container 6 pos (14, 10, 12) dims (8, 10, 18)
  box   60 type 2 -> container 6 pos (14, 0, 18) dims (14, 10, 12)
  box   58 type 2 -> container 6 pos (0, 0, 20) dims (14, 12, 10)
  box    5 type 1 -> container 6 pos (22, 10, 12) dims (8, 10, 18)
  box   66 type 3 -> container 6 pos (0, 12, 18) dims (6, 8, 10)
