Instance: problem08c
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (5 types), total box volume 89059
Container types: 1 (unlimited supply per type)
  type 2: 23x18x30, volume 12420, cost 1242.0

Run started: 2026-09-13 18:45:04
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 9
  Containers by type: Typ2=9
  Total container volume: 111780
  Total container cost: 11178.0
  Volume utilization: 89059 / 111780 = 79.7%
  Mean per-container utilization: 79.7%

Greedy (initial decode) cost: 12420.0
SA improvement over greedy: -1242.0
Best found at iteration 94 (0.7 s)

SA parameters:
  T0: 1183.06 (calibrated, 2 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 269.6969 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 7887 in 15.00 s (525.8 it/s)
  accepted: 3544 (of which neutral 3349), rejected: 4343, no-move draws: 0
  reheats: 2
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 2 23x18x30 dest -: 12 boxes, volume 10612/12420 (85.4%)
  container   1 type 2 23x18x30 dest -: 10 boxes, volume 10423/12420 (83.9%)
  container   2 type 2 23x18x30 dest -: 9 boxes, volume 10387/12420 (83.6%)
  container   3 type 2 23x18x30 dest -: 10 boxes, volume 10052/12420 (80.9%)
  container   4 type 2 23x18x30 dest -: 10 boxes, volume 9468/12420 (76.2%)
  container   5 type 2 23x18x30 dest -: 10 boxes, volume 9468/12420 (76.2%)
  container   6 type 2 23x18x30 dest -: 11 boxes, volume 10286/12420 (82.8%)
  container   7 type 2 23x18x30 dest -: 11 boxes, volume 8699/12420 (70.0%)
  container   8 type 2 23x18x30 dest -: 12 boxes, volume 9664/12420 (77.8%)

Placements (box, type, container, position, oriented dims):
  box   74 type 5 -> container 0 pos (0, 0, 0) dims (11, 10, 14)
  box   75 type 5 -> container 0 pos (11, 0, 0) dims (11, 10, 14)
  box   78 type 5 -> container 0 pos (0, 0, 14) dims (11, 10, 14)
  box   79 type 5 -> container 0 pos (11, 0, 14) dims (11, 10, 14)
  box   16 type 1 -> container 0 pos (0, 10, 0) dims (11, 8, 6)
  box    9 type 1 -> container 0 pos (11, 10, 0) dims (11, 8, 6)
  box    1 type 1 -> container 0 pos (0, 10, 6) dims (11, 8, 6)
  box   51 type 4 -> container 0 pos (11, 10, 6) dims (12, 8, 13)
  box   39 type 3 -> container 0 pos (0, 10, 12) dims (4, 7, 13)
  box   40 type 3 -> container 0 pos (4, 10, 12) dims (4, 7, 13)
  box    0 type 1 -> container 0 pos (11, 10, 19) dims (11, 8, 6)
  box   42 type 3 -> container 0 pos (0, 10, 25) dims (13, 7, 4)
  box   80 type 5 -> container 1 pos (0, 0, 0) dims (11, 10, 14)
  box   81 type 5 -> container 1 pos (11, 0, 0) dims (11, 10, 14)
  box   82 type 5 -> container 1 pos (0, 0, 14) dims (11, 10, 14)
  box   76 type 5 -> container 1 pos (11, 0, 14) dims (11, 10, 14)
  box   21 type 2 -> container 1 pos (0, 10, 0) dims (9, 5, 15)
  box   50 type 4 -> container 1 pos (9, 10, 0) dims (12, 8, 13)
  box   60 type 4 -> container 1 pos (9, 10, 13) dims (12, 8, 13)
  box   46 type 3 -> container 1 pos (0, 10, 15) dims (4, 7, 13)
  box   45 type 3 -> container 1 pos (4, 10, 15) dims (4, 7, 13)
  box   37 type 3 -> container 1 pos (9, 10, 26) dims (13, 7, 4)
  box   85 type 5 -> container 2 pos (0, 0, 0) dims (11, 10, 14)
  box   86 type 5 -> container 2 pos (11, 0, 0) dims (11, 10, 14)
  box   88 type 5 -> container 2 pos (0, 0, 14) dims (11, 10, 14)
  box   92 type 5 -> container 2 pos (11, 0, 14) dims (11, 10, 14)
  box   69 type 4 -> container 2 pos (0, 10, 0) dims (12, 8, 13)
  box   55 type 4 -> container 2 pos (0, 10, 13) dims (12, 8, 13)
  box    3 type 1 -> container 2 pos (12, 10, 0) dims (11, 8, 6)
  box   20 type 2 -> container 2 pos (12, 10, 6) dims (9, 5, 15)
  box   18 type 1 -> container 2 pos (12, 10, 21) dims (11, 8, 6)
  box   56 type 4 -> container 3 pos (0, 0, 0) dims (12, 13, 8)
  box   77 type 5 -> container 3 pos (12, 0, 0) dims (11, 10, 14)
  box   57 type 4 -> container 3 pos (0, 0, 8) dims (12, 13, 8)
  box   87 type 5 -> container 3 pos (12, 0, 14) dims (11, 10, 14)
  box   58 type 4 -> container 3 pos (0, 0, 16) dims (12, 13, 8)
  box   22 type 2 -> container 3 pos (12, 10, 0) dims (9, 5, 15)
  box   23 type 2 -> container 3 pos (0, 13, 0) dims (9, 5, 15)
  box   25 type 2 -> container 3 pos (12, 10, 15) dims (9, 5, 15)
  box   24 type 2 -> container 3 pos (0, 13, 15) dims (9, 5, 15)
  box    2 type 1 -> container 3 pos (0, 0, 24) dims (11, 8, 6)
  box   59 type 4 -> container 4 pos (0, 0, 0) dims (12, 13, 8)
  box   61 type 4 -> container 4 pos (12, 0, 0) dims (8, 12, 13)
  box   62 type 4 -> container 4 pos (0, 0, 8) dims (12, 13, 8)
  box   63 type 4 -> container 4 pos (12, 0, 13) dims (8, 12, 13)
  box   64 type 4 -> container 4 pos (0, 0, 16) dims (12, 13, 8)
  box   26 type 2 -> container 4 pos (12, 12, 0) dims (9, 5, 15)
  box   27 type 2 -> container 4 pos (0, 13, 0) dims (9, 5, 15)
  box   28 type 2 -> container 4 pos (12, 12, 15) dims (9, 5, 15)
  box   29 type 2 -> container 4 pos (0, 13, 15) dims (9, 5, 15)
