Instance: problem09b
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 72 (4 types), total box volume 106080
Container types: 1 (unlimited supply per type)
  type 1: 40x22x26, volume 22880, cost 2288.0

Run started: 2026-09-13 18:45:49
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 6
  Containers by type: Typ1=6
  Total container volume: 137280
  Total container cost: 13728.0
  Volume utilization: 106080 / 137280 = 77.3%
  Mean per-container utilization: 77.3%

Greedy (initial decode) cost: 16016.0
SA improvement over greedy: -2288.0
Best found at iteration 13 (0.4 s)

SA parameters:
  T0: 800.80 (5% of f(S_0), no worsening draw sampled)
  schedule: time-based, T0 -> 0.0000 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 9492 in 15.00 s (632.8 it/s)
  accepted: 3557 (of which neutral 3554), rejected: 5935, no-move draws: 0
  reheats: 3
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 1 40x22x26 dest -: 13 boxes, volume 21030/22880 (91.9%)
  container   1 type 1 40x22x26 dest -: 13 boxes, volume 21740/22880 (95.0%)
  container   2 type 1 40x22x26 dest -: 13 boxes, volume 21740/22880 (95.0%)
  container   3 type 1 40x22x26 dest -: 13 boxes, volume 18420/22880 (80.5%)
  container   4 type 1 40x22x26 dest -: 11 boxes, volume 15420/22880 (67.4%)
  container   5 type 1 40x22x26 dest -: 9 boxes, volume 7730/22880 (33.8%)

Placements (box, type, container, position, oriented dims):
  box   50 type 4 -> container 0 pos (0, 0, 0) dims (14, 11, 15)
  box   51 type 4 -> container 0 pos (14, 0, 0) dims (14, 11, 15)
  box   14 type 1 -> container 0 pos (28, 0, 0) dims (11, 10, 13)
  box   55 type 4 -> container 0 pos (0, 11, 0) dims (14, 11, 15)
  box   56 type 4 -> container 0 pos (14, 11, 0) dims (14, 11, 15)
  box   57 type 4 -> container 0 pos (0, 0, 15) dims (15, 14, 11)
  box   58 type 4 -> container 0 pos (15, 0, 15) dims (15, 14, 11)
  box    0 type 1 -> container 0 pos (28, 10, 0) dims (11, 10, 13)
  box    1 type 1 -> container 0 pos (30, 0, 15) dims (10, 13, 11)
  box   18 type 2 -> container 0 pos (30, 13, 15) dims (8, 9, 10)
  box   19 type 2 -> container 0 pos (0, 14, 15) dims (9, 8, 10)
  box   20 type 2 -> container 0 pos (9, 14, 15) dims (9, 8, 10)
  box   21 type 2 -> container 0 pos (18, 14, 15) dims (9, 8, 10)
  box   59 type 4 -> container 1 pos (0, 0, 0) dims (14, 11, 15)
  box   60 type 4 -> container 1 pos (14, 0, 0) dims (14, 11, 15)
  box   61 type 4 -> container 1 pos (28, 0, 0) dims (11, 14, 15)
  box   52 type 4 -> container 1 pos (0, 11, 0) dims (14, 11, 15)
  box   62 type 4 -> container 1 pos (14, 11, 0) dims (14, 11, 15)
  box   63 type 4 -> container 1 pos (0, 0, 15) dims (15, 14, 11)
  box   64 type 4 -> container 1 pos (15, 0, 15) dims (15, 14, 11)
  box    2 type 1 -> container 1 pos (30, 0, 15) dims (10, 13, 11)
  box   41 type 3 -> container 1 pos (28, 14, 0) dims (12, 7, 15)
  box   22 type 2 -> container 1 pos (30, 13, 15) dims (8, 9, 10)
  box   23 type 2 -> container 1 pos (0, 14, 15) dims (9, 8, 10)
  box   24 type 2 -> container 1 pos (9, 14, 15) dims (9, 8, 10)
  box   25 type 2 -> container 1 pos (18, 14, 15) dims (9, 8, 10)
  box   65 type 4 -> container 2 pos (0, 0, 0) dims (14, 11, 15)
  box   66 type 4 -> container 2 pos (14, 0, 0) dims (14, 11, 15)
  box   67 type 4 -> container 2 pos (28, 0, 0) dims (11, 14, 15)
  box   53 type 4 -> container 2 pos (0, 11, 0) dims (14, 11, 15)
  box   69 type 4 -> container 2 pos (14, 11, 0) dims (14, 11, 15)
  box   70 type 4 -> container 2 pos (0, 0, 15) dims (15, 14, 11)
  box   71 type 4 -> container 2 pos (15, 0, 15) dims (15, 14, 11)
  box    3 type 1 -> container 2 pos (30, 0, 15) dims (10, 13, 11)
  box   38 type 3 -> container 2 pos (28, 14, 0) dims (12, 7, 15)
  box   26 type 2 -> container 2 pos (30, 13, 15) dims (8, 9, 10)
  box   27 type 2 -> container 2 pos (0, 14, 15) dims (9, 8, 10)
  box   28 type 2 -> container 2 pos (9, 14, 15) dims (9, 8, 10)
  box   29 type 2 -> container 2 pos (18, 14, 15) dims (9, 8, 10)
  box    4 type 1 -> container 3 pos (0, 0, 0) dims (11, 10, 13)
  box    5 type 1 -> container 3 pos (11, 0, 0) dims (11, 10, 13)
  box    6 type 1 -> container 3 pos (22, 0, 0) dims (11, 10, 13)
  box    7 type 1 -> container 3 pos (0, 10, 0) dims (11, 10, 13)
  box    8 type 1 -> container 3 pos (11, 10, 0) dims (11, 10, 13)
  box    9 type 1 -> container 3 pos (22, 10, 0) dims (11, 10, 13)
  box   10 type 1 -> container 3 pos (0, 0, 13) dims (11, 10, 13)
  box   11 type 1 -> container 3 pos (11, 0, 13) dims (11, 10, 13)
