Instance: problem10a
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (3 types), total box volume 47735
Container types: 2 (unlimited supply per type)
  type 1: 25x17x30, volume 12750, cost 1275.0
  type 2: 20x20x15, volume 6000, cost 600.0

Run started: 2026-09-13 19:45:48
Command: Bortfeldt-SA.py --instance-files /home/mcaspar/3DMHKP/Ivancic/problem10a.txt --time-limit 900.0 --results-dir /home/mcaspar/3DMHKP/results_Bortfeldt_SA
Time limit: 900.0 s per instance
Runtime: 900.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 6
  Containers by type: Typ1=3 Typ2=3
  Total container volume: 56250
  Total container cost: 5625.0
  Volume utilization: 47735 / 56250 = 84.9%
  Mean per-container utilization: 84.6%

Greedy (initial decode) cost: 6150.0
SA improvement over greedy: -525.0
Best found at iteration 516110 (821.2 s)

SA parameters:
  T0: 75.01 (calibrated, 190 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 17.1001 over 900s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6, eliminate=0.8, ctype=0.5
  selection rules: efficiency, volume, cheap
  seed: 596715725

SA statistics:
  iterations: 560350 in 900.00 s (622.6 it/s)
  accepted: 169722 (of which neutral 76430), rejected: 390628, no-move draws: 0
  reheats: 182
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 2 20x20x15 dest -: 14 boxes, volume 4991/6000 (83.2%)
  container   1 type 2 20x20x15 dest -: 17 boxes, volume 5186/6000 (86.4%)
  container   2 type 2 20x20x15 dest -: 9 boxes, volume 4918/6000 (82.0%)
  container   3 type 1 25x17x30 dest -: 19 boxes, volume 11655/12750 (91.4%)
  container   4 type 1 25x17x30 dest -: 19 boxes, volume 11655/12750 (91.4%)
  container   5 type 1 25x17x30 dest -: 17 boxes, volume 9330/12750 (73.2%)

Placements (box, type, container, position, oriented dims):
  box   18 type 1 -> container 0 pos (0, 0, 0) dims (9, 11, 7)
  box   29 type 1 -> container 0 pos (9, 0, 0) dims (9, 11, 7)
  box   93 type 3 -> container 0 pos (0, 11, 0) dims (12, 6, 7)
  box   15 type 1 -> container 0 pos (12, 11, 0) dims (7, 9, 11)
  box   84 type 3 -> container 0 pos (0, 0, 7) dims (12, 6, 7)
  box   91 type 3 -> container 0 pos (0, 6, 7) dims (12, 6, 7)
  box   85 type 3 -> container 0 pos (0, 12, 7) dims (12, 6, 7)
  box   47 type 2 -> container 0 pos (12, 0, 7) dims (8, 4, 4)
  box   53 type 2 -> container 0 pos (12, 4, 7) dims (8, 4, 4)
  box   57 type 2 -> container 0 pos (12, 0, 11) dims (8, 4, 4)
  box   59 type 2 -> container 0 pos (12, 4, 11) dims (8, 4, 4)
  box   61 type 2 -> container 0 pos (12, 8, 11) dims (8, 4, 4)
  box   52 type 2 -> container 0 pos (12, 12, 11) dims (8, 4, 4)
  box   43 type 2 -> container 0 pos (12, 16, 11) dims (8, 4, 4)
  box   73 type 3 -> container 1 pos (0, 0, 0) dims (12, 6, 7)
  box   37 type 1 -> container 1 pos (12, 0, 0) dims (7, 11, 9)
  box   79 type 3 -> container 1 pos (0, 6, 0) dims (12, 6, 7)
  box   10 type 1 -> container 1 pos (12, 11, 0) dims (7, 9, 11)
  box   82 type 3 -> container 1 pos (0, 12, 0) dims (12, 6, 7)
  box   86 type 3 -> container 1 pos (0, 0, 7) dims (12, 6, 7)
  box   67 type 3 -> container 1 pos (0, 6, 7) dims (12, 6, 7)
  box   62 type 2 -> container 1 pos (0, 12, 7) dims (8, 4, 4)
  box   55 type 2 -> container 1 pos (8, 12, 7) dims (4, 4, 8)
  box   44 type 2 -> container 1 pos (0, 16, 7) dims (8, 4, 4)
  box   46 type 2 -> container 1 pos (8, 16, 7) dims (4, 4, 8)
  box   48 type 2 -> container 1 pos (12, 0, 9) dims (8, 4, 4)
  box   58 type 2 -> container 1 pos (12, 4, 9) dims (8, 4, 4)
