Instance: problem11c
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 118 (4 types), total box volume 128979
Container types: 1 (unlimited supply per type)
  type 2: 19x15x26, volume 7410, cost 741.0

Run started: 2026-09-13 18:47:49
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 23
  Containers by type: Typ2=23
  Total container volume: 170430
  Total container cost: 17043.0
  Volume utilization: 128979 / 170430 = 75.7%
  Mean per-container utilization: 75.7%

Greedy (initial decode) cost: 18525.0
SA improvement over greedy: -1482.0
Best found at iteration 4984 (9.1 s)

SA parameters:
  T0: 1058.75 (calibrated, 32 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 241.3592 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 8430 in 15.00 s (561.9 it/s)
  accepted: 3592 (of which neutral 2689), rejected: 4838, no-move draws: 0
  reheats: 2
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 2 19x15x26 dest -: 5 boxes, volume 5434/7410 (73.3%)
  container   1 type 2 19x15x26 dest -: 6 boxes, volume 4710/7410 (63.6%)
  container   2 type 2 19x15x26 dest -: 5 boxes, volume 6024/7410 (81.3%)
  container   3 type 2 19x15x26 dest -: 6 boxes, volume 5580/7410 (75.3%)
  container   4 type 2 19x15x26 dest -: 4 boxes, volume 6188/7410 (83.5%)
  container   5 type 2 19x15x26 dest -: 5 boxes, volume 5744/7410 (77.5%)
  container   6 type 2 19x15x26 dest -: 5 boxes, volume 6024/7410 (81.3%)
  container   7 type 2 19x15x26 dest -: 4 boxes, volume 6188/7410 (83.5%)
  container   8 type 2 19x15x26 dest -: 5 boxes, volume 5744/7410 (77.5%)
  container   9 type 2 19x15x26 dest -: 5 boxes, volume 5744/7410 (77.5%)
  container  10 type 2 19x15x26 dest -: 5 boxes, volume 6024/7410 (81.3%)
  container  11 type 2 19x15x26 dest -: 7 boxes, volume 5480/7410 (74.0%)
  container  12 type 2 19x15x26 dest -: 5 boxes, volume 5464/7410 (73.7%)
  container  13 type 2 19x15x26 dest -: 5 boxes, volume 5464/7410 (73.7%)
  container  14 type 2 19x15x26 dest -: 5 boxes, volume 5277/7410 (71.2%)
  container  15 type 2 19x15x26 dest -: 5 boxes, volume 5247/7410 (70.8%)
  container  16 type 2 19x15x26 dest -: 5 boxes, volume 6024/7410 (81.3%)
  container  17 type 2 19x15x26 dest -: 6 boxes, volume 5580/7410 (75.3%)
  container  18 type 2 19x15x26 dest -: 6 boxes, volume 5330/7410 (71.9%)
  container  19 type 2 19x15x26 dest -: 5 boxes, volume 5714/7410 (77.1%)
  container  20 type 2 19x15x26 dest -: 5 boxes, volume 6024/7410 (81.3%)
  container  21 type 2 19x15x26 dest -: 4 boxes, volume 4227/7410 (57.0%)
  container  22 type 2 19x15x26 dest -: 5 boxes, volume 5744/7410 (77.5%)

Placements (box, type, container, position, oriented dims):
  box   25 type 1 -> container 0 pos (0, 0, 0) dims (5, 11, 14)
  box   87 type 3 -> container 0 pos (5, 0, 0) dims (7, 13, 17)
  box   65 type 3 -> container 0 pos (12, 0, 0) dims (7, 13, 17)
  box   29 type 1 -> container 0 pos (0, 0, 14) dims (5, 14, 11)
  box  114 type 4 -> container 0 pos (5, 0, 17) dims (10, 10, 8)
  box   17 type 1 -> container 1 pos (0, 0, 0) dims (5, 11, 14)
  box   11 type 1 -> container 1 pos (5, 0, 0) dims (5, 11, 14)
  box   99 type 4 -> container 1 pos (10, 0, 0) dims (8, 10, 10)
  box   97 type 4 -> container 1 pos (10, 0, 10) dims (8, 10, 10)
  box  116 type 4 -> container 1 pos (0, 0, 14) dims (10, 10, 8)
  box   12 type 1 -> container 1 pos (0, 10, 14) dims (14, 5, 11)
  box   63 type 3 -> container 2 pos (0, 0, 0) dims (17, 7, 13)
  box   75 type 3 -> container 2 pos (0, 7, 0) dims (17, 7, 13)
  box   44 type 2 -> container 2 pos (0, 0, 13) dims (9, 10, 12)
  box   35 type 2 -> container 2 pos (9, 0, 13) dims (9, 10, 12)
  box   20 type 1 -> container 2 pos (0, 10, 13) dims (14, 5, 11)
  box   41 type 2 -> container 3 pos (0, 0, 0) dims (9, 10, 12)
  box   39 type 2 -> container 3 pos (9, 0, 0) dims (9, 10, 12)
  box  113 type 4 -> container 3 pos (0, 0, 12) dims (10, 10, 8)
  box    2 type 1 -> container 3 pos (0, 10, 0) dims (11, 5, 14)
  box   26 type 1 -> container 3 pos (0, 10, 14) dims (14, 5, 11)
  box   36 type 2 -> container 3 pos (10, 0, 12) dims (9, 10, 12)
  box   74 type 3 -> container 4 pos (0, 0, 0) dims (17, 7, 13)
  box   78 type 3 -> container 4 pos (0, 7, 0) dims (17, 7, 13)
  box   70 type 3 -> container 4 pos (0, 0, 13) dims (17, 7, 13)
  box   71 type 3 -> container 4 pos (0, 7, 13) dims (17, 7, 13)
  box   60 type 3 -> container 5 pos (0, 0, 0) dims (17, 7, 13)
  box   59 type 3 -> container 5 pos (0, 7, 0) dims (17, 7, 13)
  box  105 type 4 -> container 5 pos (0, 0, 13) dims (10, 10, 8)
  box   40 type 2 -> container 5 pos (10, 0, 13) dims (9, 10, 12)
  box   16 type 1 -> container 5 pos (0, 10, 13) dims (14, 5, 11)
  box   73 type 3 -> container 6 pos (0, 0, 0) dims (17, 7, 13)
  box   47 type 2 -> container 6 pos (0, 0, 13) dims (9, 10, 12)
  box   61 type 3 -> container 6 pos (0, 7, 0) dims (17, 7, 13)
  box   50 type 2 -> container 6 pos (9, 0, 13) dims (9, 10, 12)
  box   13 type 1 -> container 6 pos (0, 10, 13) dims (14, 5, 11)
  box   83 type 3 -> container 7 pos (0, 0, 0) dims (17, 7, 13)
  box   94 type 3 -> container 7 pos (0, 7, 0) dims (17, 7, 13)
  box   67 type 3 -> container 7 pos (0, 0, 13) dims (17, 7, 13)
  box   86 type 3 -> container 7 pos (0, 7, 13) dims (17, 7, 13)
  box   72 type 3 -> container 8 pos (0, 0, 0) dims (17, 7, 13)
  box   68 type 3 -> container 8 pos (0, 7, 0) dims (17, 7, 13)
  box   31 type 2 -> container 8 pos (0, 0, 13) dims (9, 10, 12)
  box   96 type 4 -> container 8 pos (9, 0, 13) dims (10, 10, 8)
  box    9 type 1 -> container 8 pos (0, 10, 13) dims (14, 5, 11)
  box   62 type 3 -> container 9 pos (0, 0, 0) dims (17, 7, 13)
  box   42 type 2 -> container 9 pos (0, 0, 13) dims (9, 10, 12)
  box   79 type 3 -> container 9 pos (0, 7, 0) dims (17, 7, 13)
  box  110 type 4 -> container 9 pos (9, 0, 13) dims (10, 10, 8)
  box    8 type 1 -> container 9 pos (0, 10, 13) dims (14, 5, 11)
  box   82 type 3 -> container 10 pos (0, 0, 0) dims (17, 7, 13)
  box   64 type 3 -> container 10 pos (0, 7, 0) dims (17, 7, 13)
  box   57 type 2 -> container 10 pos (0, 0, 13) dims (9, 10, 12)
  box   53 type 2 -> container 10 pos (9, 0, 13) dims (9, 10, 12)
  box   14 type 1 -> container 10 pos (0, 10, 13) dims (14, 5, 11)
  box   19 type 1 -> container 11 pos (0, 0, 0) dims (5, 11, 14)
  box  106 type 4 -> container 11 pos (5, 0, 0) dims (10, 10, 8)
  box  104 type 4 -> container 11 pos (5, 0, 8) dims (10, 10, 8)
  box  103 type 4 -> container 11 pos (5, 0, 16) dims (10, 10, 8)
  box    6 type 1 -> container 11 pos (5, 10, 0) dims (11, 5, 14)
  box   10 type 1 -> container 11 pos (0, 0, 14) dims (5, 14, 11)
  box   28 type 1 -> container 11 pos (5, 10, 14) dims (14, 5, 11)
  box   89 type 3 -> container 12 pos (0, 0, 0) dims (17, 7, 13)
  box   76 type 3 -> container 12 pos (0, 7, 0) dims (17, 7, 13)
  box  115 type 4 -> container 12 pos (0, 0, 13) dims (10, 10, 8)
