Instance: problem15a
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 85 (4 types), total box volume 48060
Container types: 2 (unlimited supply per type)
  type 1: 28x14x18, volume 7056, cost 705.5
  type 2: 15x12x20, volume 3600, cost 360.0

Run started: 2026-09-13 18:51:04
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 15
  Containers by type: Typ1=0 Typ2=15
  Total container volume: 54000
  Total container cost: 5400.0
  Volume utilization: 48060 / 54000 = 89.0%
  Mean per-container utilization: 89.0%

Greedy (initial decode) cost: 7458.5
SA improvement over greedy: -2058.5
Best found at iteration 4723 (13.9 s)

SA parameters:
  T0: 329.10 (calibrated, 62 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 75.0244 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 5053 in 15.00 s (336.8 it/s)
  accepted: 2020 (of which neutral 1261), rejected: 3033, no-move draws: 0
  reheats: 0
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 2 15x12x20 dest -: 10 boxes, volume 3140/3600 (87.2%)
  container   1 type 2 15x12x20 dest -: 5 boxes, volume 2994/3600 (83.2%)
  container   2 type 2 15x12x20 dest -: 4 boxes, volume 3306/3600 (91.8%)
  container   3 type 2 15x12x20 dest -: 7 boxes, volume 2905/3600 (80.7%)
  container   4 type 2 15x12x20 dest -: 10 boxes, volume 3140/3600 (87.2%)
  container   5 type 2 15x12x20 dest -: 4 boxes, volume 3306/3600 (91.8%)
  container   6 type 2 15x12x20 dest -: 4 boxes, volume 3306/3600 (91.8%)
  container   7 type 2 15x12x20 dest -: 4 boxes, volume 3306/3600 (91.8%)
  container   8 type 2 15x12x20 dest -: 4 boxes, volume 3306/3600 (91.8%)
  container   9 type 2 15x12x20 dest -: 10 boxes, volume 2956/3600 (82.1%)
  container  10 type 2 15x12x20 dest -: 4 boxes, volume 3306/3600 (91.8%)
  container  11 type 2 15x12x20 dest -: 4 boxes, volume 3306/3600 (91.8%)
  container  12 type 2 15x12x20 dest -: 5 boxes, volume 3261/3600 (90.6%)
  container  13 type 2 15x12x20 dest -: 5 boxes, volume 3261/3600 (90.6%)
  container  14 type 2 15x12x20 dest -: 5 boxes, volume 3261/3600 (90.6%)

Placements (box, type, container, position, oriented dims):
  box    4 type 1 -> container 0 pos (0, 0, 0) dims (9, 6, 6)
  box   38 type 2 -> container 0 pos (0, 0, 6) dims (8, 12, 10)
  box   10 type 1 -> container 0 pos (9, 0, 0) dims (6, 6, 9)
  box   18 type 1 -> container 0 pos (0, 6, 0) dims (9, 6, 6)
  box   11 type 1 -> container 0 pos (9, 6, 0) dims (6, 6, 9)
  box   21 type 1 -> container 0 pos (9, 0, 9) dims (6, 6, 9)
  box   52 type 3 -> container 0 pos (9, 6, 9) dims (5, 4, 7)
  box   50 type 3 -> container 0 pos (0, 0, 16) dims (5, 7, 4)
  box   54 type 3 -> container 0 pos (0, 7, 16) dims (7, 5, 4)
  box   55 type 3 -> container 0 pos (7, 7, 16) dims (7, 5, 4)
  box   34 type 2 -> container 1 pos (0, 0, 0) dims (8, 12, 10)
  box   69 type 4 -> container 1 pos (8, 0, 0) dims (7, 9, 11)
  box   71 type 4 -> container 1 pos (0, 0, 10) dims (7, 11, 9)
  box   15 type 1 -> container 1 pos (8, 0, 11) dims (6, 6, 9)
  box    7 type 1 -> container 1 pos (8, 6, 11) dims (6, 6, 9)
  box   83 type 4 -> container 2 pos (0, 0, 0) dims (7, 9, 11)
  box   28 type 2 -> container 2 pos (7, 0, 0) dims (8, 12, 10)
  box   39 type 2 -> container 2 pos (7, 0, 10) dims (8, 12, 10)
  box   80 type 4 -> container 2 pos (0, 0, 11) dims (7, 11, 9)
  box   12 type 1 -> container 3 pos (0, 0, 0) dims (9, 6, 6)
  box   40 type 2 -> container 3 pos (0, 0, 6) dims (8, 12, 10)
  box   81 type 4 -> container 3 pos (8, 0, 6) dims (7, 9, 11)
  box   14 type 1 -> container 3 pos (9, 0, 0) dims (6, 9, 6)
  box    0 type 1 -> container 3 pos (0, 6, 0) dims (9, 6, 6)
  box   61 type 3 -> container 3 pos (0, 0, 16) dims (5, 7, 4)
  box   58 type 3 -> container 3 pos (0, 7, 16) dims (7, 5, 4)
  box    9 type 1 -> container 4 pos (0, 0, 0) dims (9, 6, 6)
  box   22 type 1 -> container 4 pos (9, 0, 0) dims (6, 6, 9)
  box   43 type 2 -> container 4 pos (0, 0, 6) dims (8, 12, 10)
  box   20 type 1 -> container 4 pos (0, 6, 0) dims (9, 6, 6)
  box   13 type 1 -> container 4 pos (9, 6, 0) dims (6, 6, 9)
  box    5 type 1 -> container 4 pos (9, 0, 9) dims (6, 6, 9)
  box   60 type 3 -> container 4 pos (9, 6, 9) dims (5, 4, 7)
  box   53 type 3 -> container 4 pos (0, 0, 16) dims (5, 7, 4)
  box   64 type 3 -> container 4 pos (0, 7, 16) dims (7, 5, 4)
  box   62 type 3 -> container 4 pos (7, 7, 16) dims (7, 5, 4)
  box   66 type 4 -> container 5 pos (0, 0, 0) dims (7, 9, 11)
  box   31 type 2 -> container 5 pos (7, 0, 0) dims (8, 12, 10)
  box   45 type 2 -> container 5 pos (7, 0, 10) dims (8, 12, 10)
  box   78 type 4 -> container 5 pos (0, 0, 11) dims (7, 11, 9)
  box   30 type 2 -> container 6 pos (0, 0, 0) dims (8, 12, 10)
  box   75 type 4 -> container 6 pos (8, 0, 0) dims (7, 9, 11)
  box   26 type 2 -> container 6 pos (0, 0, 10) dims (8, 12, 10)
  box   77 type 4 -> container 6 pos (8, 0, 11) dims (7, 11, 9)
  box   42 type 2 -> container 7 pos (0, 0, 0) dims (8, 12, 10)
  box   32 type 2 -> container 7 pos (0, 0, 10) dims (8, 12, 10)
  box   76 type 4 -> container 7 pos (8, 0, 0) dims (7, 9, 11)
  box   68 type 4 -> container 7 pos (8, 0, 11) dims (7, 11, 9)
  box   33 type 2 -> container 8 pos (0, 0, 0) dims (8, 12, 10)
  box   46 type 2 -> container 8 pos (0, 0, 10) dims (8, 12, 10)
  box   65 type 4 -> container 8 pos (8, 0, 0) dims (7, 9, 11)
  box   72 type 4 -> container 8 pos (8, 0, 11) dims (7, 11, 9)
  box    8 type 1 -> container 9 pos (0, 0, 0) dims (9, 6, 6)
  box   48 type 2 -> container 9 pos (0, 0, 6) dims (8, 12, 10)
  box   17 type 1 -> container 9 pos (9, 0, 0) dims (6, 6, 9)
  box   19 type 1 -> container 9 pos (0, 6, 0) dims (9, 6, 6)
  box   57 type 3 -> container 9 pos (9, 6, 0) dims (5, 4, 7)
