Instance: problem16b
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 90 (3 types), total box volume 355470
Container types: 1 (unlimited supply per type)
  type 1: 48x70x32, volume 107520, cost 10752.0

Run started: 2026-09-13 19:39:04
Command: Bortfeldt-SA.py --instance-files /home/mcaspar/3DMHKP/Ivancic/problem16b.txt --time-limit 90.0 --results-dir /home/mcaspar/3DMHKP/results_Bortfeldt_SA
Time limit: 90.0 s per instance
Runtime: 90.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 4
  Containers by type: Typ1=4
  Total container volume: 430080
  Total container cost: 43008.0
  Volume utilization: 355470 / 430080 = 82.7%
  Mean per-container utilization: 82.7%

Greedy (initial decode) cost: 43008.0
SA improvement over greedy: -0.0
Best found at iteration 54016 (64.9 s)

SA parameters:
  T0: 10248.76 (calibrated, 300 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 2336.3692 over 90s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6, eliminate=0.8, ctype=0.5
  selection rules: efficiency, volume, cheap
  seed: 738292974

SA statistics:
  iterations: 75148 in 90.00 s (835.0 it/s)
  accepted: 64185 (of which neutral 4277), rejected: 10963, no-move draws: 0
  reheats: 25
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 1 48x70x32 dest -: 20 boxes, volume 90804/107520 (84.5%)
  container   1 type 1 48x70x32 dest -: 19 boxes, volume 98910/107520 (92.0%)
  container   2 type 1 48x70x32 dest -: 25 boxes, volume 97374/107520 (90.6%)
  container   3 type 1 48x70x32 dest -: 26 boxes, volume 68382/107520 (63.6%)

Placements (box, type, container, position, oriented dims):
  box   65 type 3 -> container 0 pos (0, 0, 0) dims (24, 16, 15)
  box   66 type 3 -> container 0 pos (24, 0, 0) dims (24, 16, 15)
  box   67 type 3 -> container 0 pos (0, 16, 0) dims (24, 16, 15)
  box   68 type 3 -> container 0 pos (24, 16, 0) dims (24, 16, 15)
  box   39 type 2 -> container 0 pos (0, 32, 0) dims (11, 11, 14)
  box   70 type 3 -> container 0 pos (11, 32, 0) dims (24, 16, 15)
  box   71 type 3 -> container 0 pos (11, 48, 0) dims (24, 16, 15)
  box   72 type 3 -> container 0 pos (0, 0, 15) dims (24, 16, 15)
  box   73 type 3 -> container 0 pos (24, 0, 15) dims (24, 16, 15)
  box   74 type 3 -> container 0 pos (0, 16, 15) dims (24, 16, 15)
  box   48 type 2 -> container 0 pos (35, 32, 0) dims (11, 11, 14)
  box   75 type 3 -> container 0 pos (24, 16, 15) dims (24, 16, 15)
  box   76 type 3 -> container 0 pos (0, 32, 15) dims (24, 16, 15)
  box   77 type 3 -> container 0 pos (24, 32, 15) dims (24, 16, 15)
  box   78 type 3 -> container 0 pos (0, 48, 15) dims (24, 16, 15)
  box   79 type 3 -> container 0 pos (24, 48, 15) dims (24, 16, 15)
  box   52 type 2 -> container 0 pos (0, 43, 0) dims (11, 11, 14)
  box   35 type 2 -> container 0 pos (35, 43, 0) dims (11, 11, 14)
  box   36 type 2 -> container 0 pos (0, 54, 0) dims (11, 11, 14)
  box   37 type 2 -> container 0 pos (35, 54, 0) dims (11, 11, 14)
  box   80 type 3 -> container 1 pos (0, 0, 0) dims (24, 16, 15)
  box   81 type 3 -> container 1 pos (24, 0, 0) dims (24, 16, 15)
  box   82 type 3 -> container 1 pos (0, 16, 0) dims (24, 16, 15)
  box   83 type 3 -> container 1 pos (24, 16, 0) dims (24, 16, 15)
  box   84 type 3 -> container 1 pos (0, 32, 0) dims (24, 16, 15)
  box   85 type 3 -> container 1 pos (24, 32, 0) dims (24, 16, 15)
  box   86 type 3 -> container 1 pos (0, 48, 0) dims (24, 16, 15)
  box   87 type 3 -> container 1 pos (24, 48, 0) dims (24, 16, 15)
  box   88 type 3 -> container 1 pos (0, 0, 15) dims (24, 16, 15)
  box   89 type 3 -> container 1 pos (24, 0, 15) dims (24, 16, 15)
  box    2 type 1 -> container 1 pos (0, 16, 15) dims (15, 18, 17)
  box   10 type 1 -> container 1 pos (15, 16, 15) dims (15, 18, 17)
  box    3 type 1 -> container 1 pos (30, 16, 15) dims (15, 18, 17)
  box    7 type 1 -> container 1 pos (0, 34, 15) dims (15, 18, 17)
  box   16 type 1 -> container 1 pos (15, 34, 15) dims (15, 18, 17)
  box    0 type 1 -> container 1 pos (30, 34, 15) dims (15, 18, 17)
  box   14 type 1 -> container 1 pos (0, 52, 15) dims (15, 18, 17)
  box    5 type 1 -> container 1 pos (15, 52, 15) dims (15, 18, 17)
  box   17 type 1 -> container 1 pos (30, 52, 15) dims (15, 18, 17)
  box   13 type 1 -> container 2 pos (0, 0, 0) dims (15, 18, 17)
  box    4 type 1 -> container 2 pos (15, 0, 0) dims (15, 18, 17)
  box    8 type 1 -> container 2 pos (30, 0, 0) dims (15, 18, 17)
  box    9 type 1 -> container 2 pos (0, 18, 0) dims (15, 18, 17)
  box   11 type 1 -> container 2 pos (15, 18, 0) dims (15, 18, 17)
  box   15 type 1 -> container 2 pos (30, 18, 0) dims (15, 18, 17)
  box    6 type 1 -> container 2 pos (0, 36, 0) dims (15, 18, 17)
  box   12 type 1 -> container 2 pos (15, 36, 0) dims (15, 18, 17)
  box   25 type 1 -> container 2 pos (30, 36, 0) dims (15, 18, 17)
  box   28 type 1 -> container 2 pos (0, 54, 0) dims (18, 15, 17)
  box   26 type 1 -> container 2 pos (18, 54, 0) dims (18, 15, 17)
  box   22 type 1 -> container 2 pos (0, 0, 17) dims (18, 17, 15)
  box   32 type 1 -> container 2 pos (18, 0, 17) dims (18, 17, 15)
  box   24 type 1 -> container 2 pos (0, 17, 17) dims (18, 17, 15)
  box   21 type 1 -> container 2 pos (18, 17, 17) dims (18, 17, 15)
  box   23 type 1 -> container 2 pos (0, 34, 17) dims (18, 17, 15)
  box   27 type 1 -> container 2 pos (18, 34, 17) dims (18, 17, 15)
  box   34 type 1 -> container 2 pos (0, 51, 17) dims (18, 17, 15)
  box   33 type 1 -> container 2 pos (18, 51, 17) dims (18, 17, 15)
  box   38 type 2 -> container 2 pos (36, 54, 0) dims (11, 11, 14)
