Instance: problem16c
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 90 (3 types), total box volume 355470
Container types: 1 (unlimited supply per type)
  type 2: 57x69x44, volume 173052, cost 17305.2

Run started: 2026-09-13 18:52:19
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 3
  Containers by type: Typ2=3
  Total container volume: 519156
  Total container cost: 51915.6
  Volume utilization: 355470 / 519156 = 68.5%
  Mean per-container utilization: 68.5%

Greedy (initial decode) cost: 69220.8
SA improvement over greedy: -17305.2
Best found at iteration 19 (1.4 s)

SA parameters:
  T0: 3461.04 (5% of f(S_0), no worsening draw sampled)
  schedule: time-based, T0 -> 0.0000 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 2501 in 15.00 s (166.7 it/s)
  accepted: 935 (of which neutral 934), rejected: 1566, no-move draws: 0
  reheats: 0
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 2 57x69x44 dest -: 40 boxes, volume 131646/173052 (76.1%)
  container   1 type 2 57x69x44 dest -: 27 boxes, volume 114744/173052 (66.3%)
  container   2 type 2 57x69x44 dest -: 23 boxes, volume 109080/173052 (63.0%)

Placements (box, type, container, position, oriented dims):
  box   65 type 3 -> container 0 pos (0, 0, 0) dims (24, 16, 15)
  box   67 type 3 -> container 0 pos (24, 0, 0) dims (24, 16, 15)
  box   68 type 3 -> container 0 pos (0, 16, 0) dims (24, 16, 15)
  box   69 type 3 -> container 0 pos (24, 16, 0) dims (24, 16, 15)
  box   70 type 3 -> container 0 pos (0, 32, 0) dims (24, 16, 15)
  box   52 type 2 -> container 0 pos (24, 32, 0) dims (11, 14, 11)
  box   72 type 3 -> container 0 pos (35, 32, 0) dims (16, 24, 15)
  box   73 type 3 -> container 0 pos (0, 48, 0) dims (24, 16, 15)
  box   74 type 3 -> container 0 pos (0, 0, 15) dims (24, 16, 15)
  box   75 type 3 -> container 0 pos (24, 0, 15) dims (24, 16, 15)
  box   76 type 3 -> container 0 pos (0, 16, 15) dims (24, 16, 15)
  box   77 type 3 -> container 0 pos (24, 16, 15) dims (24, 16, 15)
  box   78 type 3 -> container 0 pos (0, 32, 15) dims (24, 16, 15)
  box   79 type 3 -> container 0 pos (24, 32, 15) dims (24, 16, 15)
  box   81 type 3 -> container 0 pos (0, 48, 15) dims (24, 16, 15)
  box   23 type 1 -> container 0 pos (24, 48, 15) dims (15, 18, 17)
  box   83 type 3 -> container 0 pos (39, 48, 15) dims (16, 15, 24)
  box   63 type 2 -> container 0 pos (24, 46, 0) dims (11, 14, 11)
  box   37 type 2 -> container 0 pos (35, 56, 0) dims (11, 11, 14)
  box   47 type 2 -> container 0 pos (46, 56, 0) dims (11, 11, 14)
  box   35 type 2 -> container 0 pos (0, 0, 30) dims (11, 14, 11)
  box   36 type 2 -> container 0 pos (11, 0, 30) dims (11, 14, 11)
  box   38 type 2 -> container 0 pos (22, 0, 30) dims (11, 14, 11)
  box   39 type 2 -> container 0 pos (33, 0, 30) dims (11, 14, 11)
  box   40 type 2 -> container 0 pos (44, 0, 30) dims (11, 14, 11)
  box   41 type 2 -> container 0 pos (0, 14, 30) dims (11, 14, 11)
  box   42 type 2 -> container 0 pos (11, 14, 30) dims (11, 14, 11)
  box   43 type 2 -> container 0 pos (22, 14, 30) dims (11, 14, 11)
  box   44 type 2 -> container 0 pos (33, 14, 30) dims (11, 14, 11)
  box   45 type 2 -> container 0 pos (44, 14, 30) dims (11, 14, 11)
  box   46 type 2 -> container 0 pos (0, 28, 30) dims (11, 14, 11)
  box   48 type 2 -> container 0 pos (11, 28, 30) dims (11, 14, 11)
  box   49 type 2 -> container 0 pos (22, 28, 30) dims (11, 14, 11)
  box   50 type 2 -> container 0 pos (33, 28, 30) dims (11, 14, 11)
  box   51 type 2 -> container 0 pos (44, 28, 30) dims (11, 14, 11)
  box   53 type 2 -> container 0 pos (0, 42, 30) dims (11, 14, 11)
  box   54 type 2 -> container 0 pos (11, 42, 30) dims (11, 14, 11)
  box   55 type 2 -> container 0 pos (0, 56, 30) dims (11, 11, 14)
  box   56 type 2 -> container 0 pos (11, 56, 30) dims (11, 11, 14)
  box   57 type 2 -> container 0 pos (24, 48, 32) dims (11, 14, 11)
  box    6 type 1 -> container 1 pos (0, 0, 0) dims (15, 18, 17)
  box   85 type 3 -> container 1 pos (15, 0, 0) dims (24, 16, 15)
  box   86 type 3 -> container 1 pos (39, 0, 0) dims (16, 24, 15)
