Instance: problem17b
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 99 (4 types), total box volume 163895
Container types: 1 (unlimited supply per type)
  type 1: 40x55x38, volume 83600, cost 8360.0

Run started: 2026-09-13 18:53:04
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.01 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 3
  Containers by type: Typ1=3
  Total container volume: 250800
  Total container cost: 25080.0
  Volume utilization: 163895 / 250800 = 65.3%
  Mean per-container utilization: 65.3%

Greedy (initial decode) cost: 25080.0
SA improvement over greedy: -0.0
Best found at iteration 0 (0.0 s)

SA parameters:
  T0: 1254.00 (5% of f(S_0), no worsening draw sampled)
  schedule: time-based, T0 -> 0.0000 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 1107 in 15.01 s (73.8 it/s)
  accepted: 556 (of which neutral 556), rejected: 551, no-move draws: 0
  reheats: 0
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 1 40x55x38 dest -: 46 boxes, volume 77134/83600 (92.3%)
  container   1 type 1 40x55x38 dest -: 46 boxes, volume 67742/83600 (81.0%)
  container   2 type 1 40x55x38 dest -: 7 boxes, volume 19019/83600 (22.8%)

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 0 pos (0, 0, 0) dims (21, 13, 11)
  box    1 type 1 -> container 0 pos (21, 0, 0) dims (13, 21, 11)
  box    2 type 1 -> container 0 pos (0, 13, 0) dims (21, 13, 11)
  box    3 type 1 -> container 0 pos (21, 21, 0) dims (13, 21, 11)
  box    4 type 1 -> container 0 pos (0, 26, 0) dims (21, 13, 11)
  box    5 type 1 -> container 0 pos (0, 39, 0) dims (21, 13, 11)
  box    6 type 1 -> container 0 pos (21, 42, 0) dims (13, 11, 21)
  box    7 type 1 -> container 0 pos (0, 0, 11) dims (21, 13, 11)
  box    8 type 1 -> container 0 pos (21, 0, 11) dims (13, 21, 11)
  box    9 type 1 -> container 0 pos (0, 13, 11) dims (21, 13, 11)
  box   10 type 1 -> container 0 pos (21, 21, 11) dims (13, 21, 11)
  box   11 type 1 -> container 0 pos (0, 26, 11) dims (21, 13, 11)
  box   12 type 1 -> container 0 pos (0, 39, 11) dims (21, 13, 11)
  box   13 type 1 -> container 0 pos (0, 0, 22) dims (21, 13, 11)
  box   14 type 1 -> container 0 pos (21, 0, 22) dims (13, 21, 11)
  box   15 type 1 -> container 0 pos (0, 13, 22) dims (21, 13, 11)
  box   16 type 1 -> container 0 pos (21, 21, 22) dims (13, 21, 11)
  box   17 type 1 -> container 0 pos (0, 26, 22) dims (21, 13, 11)
  box   18 type 1 -> container 0 pos (0, 39, 22) dims (21, 13, 11)
  box   25 type 2 -> container 0 pos (21, 42, 21) dims (19, 11, 13)
  box   45 type 3 -> container 0 pos (34, 0, 0) dims (6, 10, 14)
  box   46 type 3 -> container 0 pos (34, 10, 0) dims (6, 10, 14)
  box   47 type 3 -> container 0 pos (34, 20, 0) dims (6, 10, 14)
  box   48 type 3 -> container 0 pos (34, 30, 0) dims (6, 10, 14)
  box   49 type 3 -> container 0 pos (34, 40, 0) dims (6, 10, 14)
  box   50 type 3 -> container 0 pos (34, 0, 14) dims (6, 10, 14)
  box   51 type 3 -> container 0 pos (34, 10, 14) dims (6, 10, 14)
  box   52 type 3 -> container 0 pos (34, 20, 14) dims (6, 10, 14)
  box   53 type 3 -> container 0 pos (34, 30, 14) dims (6, 10, 14)
  box   54 type 3 -> container 0 pos (34, 0, 28) dims (6, 14, 10)
  box   55 type 3 -> container 0 pos (34, 14, 28) dims (6, 14, 10)
  box   56 type 3 -> container 0 pos (34, 28, 28) dims (6, 14, 10)
  box   65 type 4 -> container 0 pos (0, 0, 33) dims (8, 13, 5)
  box   66 type 4 -> container 0 pos (8, 0, 33) dims (8, 13, 5)
  box   67 type 4 -> container 0 pos (16, 0, 33) dims (8, 13, 5)
  box   68 type 4 -> container 0 pos (24, 0, 33) dims (8, 13, 5)
  box   69 type 4 -> container 0 pos (0, 13, 33) dims (8, 13, 5)
  box   70 type 4 -> container 0 pos (8, 13, 33) dims (8, 13, 5)
  box   71 type 4 -> container 0 pos (16, 13, 33) dims (8, 13, 5)
  box   72 type 4 -> container 0 pos (24, 13, 33) dims (8, 13, 5)
  box   73 type 4 -> container 0 pos (0, 26, 33) dims (8, 13, 5)
  box   74 type 4 -> container 0 pos (8, 26, 33) dims (8, 13, 5)
  box   75 type 4 -> container 0 pos (16, 26, 33) dims (8, 13, 5)
  box   76 type 4 -> container 0 pos (24, 26, 33) dims (8, 13, 5)
  box   77 type 4 -> container 0 pos (0, 39, 33) dims (8, 13, 5)
  box   78 type 4 -> container 0 pos (8, 39, 33) dims (8, 13, 5)
  box   19 type 1 -> container 1 pos (0, 0, 0) dims (21, 13, 11)
  box   20 type 1 -> container 1 pos (21, 0, 0) dims (13, 21, 11)
  box   21 type 1 -> container 1 pos (0, 13, 0) dims (21, 13, 11)
  box   22 type 1 -> container 1 pos (21, 21, 0) dims (13, 21, 11)
  box   23 type 1 -> container 1 pos (0, 26, 0) dims (21, 13, 11)
  box   24 type 1 -> container 1 pos (0, 39, 0) dims (21, 13, 11)
  box   26 type 2 -> container 1 pos (21, 42, 0) dims (11, 13, 19)
  box   27 type 2 -> container 1 pos (0, 0, 11) dims (11, 13, 19)
  box   28 type 2 -> container 1 pos (11, 0, 11) dims (11, 13, 19)
  box   29 type 2 -> container 1 pos (22, 0, 11) dims (11, 13, 19)
  box   30 type 2 -> container 1 pos (0, 13, 11) dims (11, 13, 19)
  box   31 type 2 -> container 1 pos (11, 13, 11) dims (11, 13, 19)
