Instance: problem17c
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 99 (4 types), total box volume 163895
Container types: 1 (unlimited supply per type)
  type 2: 33x51x68, volume 114444, cost 11444.4

Run started: 2026-09-13 18:53:19
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 2
  Containers by type: Typ2=2
  Total container volume: 228888
  Total container cost: 22888.8
  Volume utilization: 163895 / 228888 = 71.6%
  Mean per-container utilization: 71.6%

Greedy (initial decode) cost: 22888.8
SA improvement over greedy: -0.0
Best found at iteration 0 (0.0 s)

SA parameters:
  T0: 1144.44 (5% of f(S_0), no worsening draw sampled)
  schedule: time-based, T0 -> 0.0000 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 678 in 15.00 s (45.2 it/s)
  accepted: 331 (of which neutral 331), rejected: 347, no-move draws: 0
  reheats: 0
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 2 33x51x68 dest -: 43 boxes, volume 100817/114444 (88.1%)
  container   1 type 2 33x51x68 dest -: 56 boxes, volume 63078/114444 (55.1%)

Placements (box, type, container, position, oriented dims):
  box    0 type 1 -> container 0 pos (0, 0, 0) dims (21, 13, 11)
  box    1 type 1 -> container 0 pos (21, 0, 0) dims (11, 21, 13)
  box    2 type 1 -> container 0 pos (0, 13, 0) dims (21, 13, 11)
  box    3 type 1 -> container 0 pos (21, 21, 0) dims (11, 21, 13)
  box    4 type 1 -> container 0 pos (0, 26, 0) dims (21, 13, 11)
  box    5 type 1 -> container 0 pos (0, 39, 0) dims (21, 11, 13)
  box    6 type 1 -> container 0 pos (0, 0, 11) dims (21, 13, 11)
  box    7 type 1 -> container 0 pos (0, 13, 11) dims (21, 13, 11)
  box    8 type 1 -> container 0 pos (0, 26, 11) dims (21, 13, 11)
  box    9 type 1 -> container 0 pos (21, 0, 13) dims (11, 21, 13)
  box   10 type 1 -> container 0 pos (21, 21, 13) dims (11, 21, 13)
  box   11 type 1 -> container 0 pos (0, 39, 13) dims (21, 11, 13)
  box   12 type 1 -> container 0 pos (0, 0, 22) dims (21, 13, 11)
  box   13 type 1 -> container 0 pos (0, 13, 22) dims (21, 13, 11)
  box   14 type 1 -> container 0 pos (0, 26, 22) dims (21, 13, 11)
  box   15 type 1 -> container 0 pos (21, 0, 26) dims (11, 21, 13)
  box   16 type 1 -> container 0 pos (21, 21, 26) dims (11, 21, 13)
  box   17 type 1 -> container 0 pos (0, 39, 26) dims (21, 11, 13)
  box   18 type 1 -> container 0 pos (0, 0, 33) dims (21, 13, 11)
  box   19 type 1 -> container 0 pos (0, 13, 33) dims (21, 13, 11)
  box   20 type 1 -> container 0 pos (0, 26, 33) dims (21, 13, 11)
  box   21 type 1 -> container 0 pos (21, 0, 39) dims (11, 21, 13)
  box   22 type 1 -> container 0 pos (21, 21, 39) dims (11, 21, 13)
  box   23 type 1 -> container 0 pos (0, 39, 39) dims (21, 11, 13)
  box   24 type 1 -> container 0 pos (0, 0, 44) dims (21, 13, 11)
  box   25 type 2 -> container 0 pos (0, 13, 44) dims (11, 13, 19)
  box   26 type 2 -> container 0 pos (0, 26, 44) dims (11, 13, 19)
  box   27 type 2 -> container 0 pos (21, 0, 52) dims (11, 19, 13)
  box   28 type 2 -> container 0 pos (21, 19, 52) dims (11, 19, 13)
  box   29 type 2 -> container 0 pos (0, 39, 52) dims (19, 11, 13)
  box   30 type 2 -> container 0 pos (0, 0, 55) dims (19, 11, 13)
  box   45 type 3 -> container 0 pos (21, 42, 0) dims (10, 6, 14)
  box   46 type 3 -> container 0 pos (21, 42, 14) dims (10, 6, 14)
  box   47 type 3 -> container 0 pos (21, 42, 28) dims (10, 6, 14)
  box   48 type 3 -> container 0 pos (21, 42, 42) dims (10, 6, 14)
  box   49 type 3 -> container 0 pos (11, 13, 44) dims (10, 14, 6)
  box   50 type 3 -> container 0 pos (11, 27, 44) dims (10, 6, 14)
  box   51 type 3 -> container 0 pos (11, 33, 44) dims (10, 6, 14)
  box   52 type 3 -> container 0 pos (11, 13, 50) dims (10, 14, 6)
  box   53 type 3 -> container 0 pos (11, 13, 56) dims (10, 14, 6)
  box   54 type 3 -> container 0 pos (11, 13, 62) dims (10, 14, 6)
  box   65 type 4 -> container 0 pos (0, 13, 63) dims (8, 13, 5)
