Instance: problem08c
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (5 types), total box volume 89059
Container types: 1 (unlimited supply per type)
  type 2: 23x18x30, volume 12420, cost 1242.0

Run started: 2026-09-13 20:58:08
Command: Bortfeldt-SA.py --instance-files /home/mcaspar/3DMHKP/Ivancic/problem08c.txt --time-limit 90.0 --results-dir /home/mcaspar/3DMHKP/results_Bortfeldt_SA
Time limit: 90.0 s per instance
Runtime: 90.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 9
  Containers by type: Typ2=9
  Total container volume: 111780
  Total container cost: 11178.0
  Volume utilization: 89059 / 111780 = 79.7%
  Mean per-container utilization: 79.7%

Greedy (initial decode) cost: 12420.0
SA improvement over greedy: -1242.0
Best found at iteration 19987 (23.8 s)

SA parameters:
  T0: 0.04 (calibrated, 101 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 0.0096 over 90s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6, eliminate=0.8, ctype=0.5
  selection rules: efficiency, volume, cheap
  seed: 599468161

SA statistics:
  iterations: 76535 in 90.00 s (850.4 it/s)
  accepted: 7539 (of which neutral 6616), rejected: 68996, no-move draws: 0
  reheats: 19, restarts: 6
  adapted move weights: swap=0.05, relocate=0.077, orient=0.076, eliminate=0.05
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 2 23x18x30 dest -: 11 boxes, volume 10286/12420 (82.8%)
  container   1 type 2 23x18x30 dest -: 12 boxes, volume 11132/12420 (89.6%)
  container   2 type 2 23x18x30 dest -: 13 boxes, volume 11632/12420 (93.7%)
  container   3 type 2 23x18x30 dest -: 11 boxes, volume 10970/12420 (88.3%)
  container   4 type 2 23x18x30 dest -: 10 boxes, volume 11307/12420 (91.0%)
  container   5 type 2 23x18x30 dest -: 13 boxes, volume 11327/12420 (91.2%)
  container   6 type 2 23x18x30 dest -: 11 boxes, volume 9830/12420 (79.1%)
  container   7 type 2 23x18x30 dest -: 13 boxes, volume 11327/12420 (91.2%)
  container   8 type 2 23x18x30 dest -: 1 boxes, volume 1248/12420 (10.0%)

Placements (box, type, container, position, oriented dims):
  box   74 type 5 -> container 0 pos (0, 0, 0) dims (11, 14, 10)
  box   32 type 2 -> container 0 pos (11, 0, 0) dims (9, 15, 5)
  box   64 type 4 -> container 0 pos (11, 0, 5) dims (12, 13, 8)
  box    6 type 1 -> container 0 pos (0, 0, 10) dims (11, 8, 6)
  box   65 type 4 -> container 0 pos (11, 0, 13) dims (12, 13, 8)
  box   77 type 5 -> container 0 pos (0, 8, 10) dims (11, 10, 14)
  box   66 type 4 -> container 0 pos (11, 0, 21) dims (12, 13, 8)
  box   27 type 2 -> container 0 pos (11, 13, 5) dims (9, 5, 15)
  box   12 type 1 -> container 0 pos (0, 0, 16) dims (11, 8, 6)
  box   15 type 1 -> container 0 pos (0, 0, 22) dims (11, 6, 8)
  box    8 type 1 -> container 0 pos (0, 8, 24) dims (11, 8, 6)
  box   80 type 5 -> container 1 pos (0, 0, 0) dims (11, 14, 10)
  box   78 type 5 -> container 1 pos (11, 0, 0) dims (11, 14, 10)
  box   82 type 5 -> container 1 pos (0, 0, 10) dims (11, 14, 10)
  box   48 type 3 -> container 1 pos (0, 14, 0) dims (7, 4, 13)
  box   45 type 3 -> container 1 pos (7, 14, 0) dims (13, 4, 7)
  box   44 type 3 -> container 1 pos (7, 14, 7) dims (13, 4, 7)
  box   54 type 4 -> container 1 pos (11, 0, 10) dims (12, 13, 8)
  box   81 type 5 -> container 1 pos (11, 0, 18) dims (11, 14, 10)
  box   75 type 5 -> container 1 pos (0, 0, 20) dims (11, 14, 10)
  box   49 type 3 -> container 1 pos (0, 14, 13) dims (7, 4, 13)
  box   41 type 3 -> container 1 pos (7, 14, 14) dims (7, 4, 13)
  box   46 type 3 -> container 1 pos (14, 14, 14) dims (7, 4, 13)
  box   10 type 1 -> container 2 pos (0, 0, 0) dims (6, 8, 11)
  box   11 type 1 -> container 2 pos (6, 0, 0) dims (6, 8, 11)
  box   85 type 5 -> container 2 pos (12, 0, 0) dims (11, 10, 14)
  box   86 type 5 -> container 2 pos (0, 8, 0) dims (11, 10, 14)
  box   89 type 5 -> container 2 pos (12, 0, 14) dims (11, 10, 14)
  box   94 type 5 -> container 2 pos (0, 8, 14) dims (11, 10, 14)
  box   63 type 4 -> container 2 pos (0, 0, 11) dims (12, 8, 13)
  box   19 type 1 -> container 2 pos (12, 10, 0) dims (11, 8, 6)
