Instance: problem10b
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (3 types), total box volume 47735
Container types: 1 (unlimited supply per type)
  type 1: 25x17x30, volume 12750, cost 1275.0

Run started: 2026-09-13 20:58:08
Command: Bortfeldt-SA.py --instance-files /home/mcaspar/3DMHKP/Ivancic/problem10b.txt --time-limit 90.0 --results-dir /home/mcaspar/3DMHKP/results_Bortfeldt_SA
Time limit: 90.0 s per instance
Runtime: 90.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 5
  Containers by type: Typ1=5
  Total container volume: 63750
  Total container cost: 6375.0
  Volume utilization: 47735 / 63750 = 74.9%
  Mean per-container utilization: 74.9%

Greedy (initial decode) cost: 6375.0
SA improvement over greedy: -0.0
Best found at iteration 36286 (76.3 s)

SA parameters:
  T0: 1214.76 (calibrated, 79 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 276.9249 over 90s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6, eliminate=0.8, ctype=0.5
  selection rules: efficiency, volume, cheap
  seed: 728447336

SA statistics:
  iterations: 43140 in 90.00 s (479.3 it/s)
  accepted: 34936 (of which neutral 3595), rejected: 8204, no-move draws: 0
  reheats: 12, restarts: 1
  adapted move weights: swap=0.84, relocate=0.713, orient=0.694, eliminate=0.953
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 1 25x17x30 dest -: 24 boxes, volume 11919/12750 (93.5%)
  container   1 type 1 25x17x30 dest -: 25 boxes, volume 11858/12750 (93.0%)
  container   2 type 1 25x17x30 dest -: 24 boxes, volume 11919/12750 (93.5%)
  container   3 type 1 25x17x30 dest -: 20 boxes, volume 11031/12750 (86.5%)
  container   4 type 1 25x17x30 dest -: 2 boxes, volume 1008/12750 (7.9%)

Placements (box, type, container, position, oriented dims):
  box   19 type 1 -> container 0 pos (0, 0, 0) dims (9, 11, 7)
  box   39 type 1 -> container 0 pos (9, 0, 0) dims (9, 11, 7)
  box    7 type 1 -> container 0 pos (18, 0, 0) dims (7, 11, 9)
  box   82 type 3 -> container 0 pos (0, 11, 0) dims (12, 6, 7)
  box   32 type 1 -> container 0 pos (0, 0, 7) dims (9, 11, 7)
  box    9 type 1 -> container 0 pos (9, 0, 7) dims (9, 11, 7)
  box   83 type 3 -> container 0 pos (12, 11, 0) dims (12, 6, 7)
  box   18 type 1 -> container 0 pos (18, 0, 9) dims (7, 11, 9)
  box   25 type 1 -> container 0 pos (0, 0, 14) dims (9, 11, 7)
  box    3 type 1 -> container 0 pos (9, 0, 14) dims (9, 11, 7)
  box   12 type 1 -> container 0 pos (18, 0, 18) dims (7, 11, 9)
  box    0 type 1 -> container 0 pos (0, 0, 21) dims (7, 11, 9)
  box   79 type 3 -> container 0 pos (0, 11, 7) dims (7, 6, 12)
  box   38 type 1 -> container 0 pos (7, 0, 21) dims (11, 7, 9)
  box   88 type 3 -> container 0 pos (7, 11, 7) dims (7, 6, 12)
  box   84 type 3 -> container 0 pos (14, 11, 7) dims (7, 6, 12)
  box   87 type 3 -> container 0 pos (0, 11, 19) dims (12, 6, 7)
  box   78 type 3 -> container 0 pos (12, 11, 19) dims (12, 6, 7)
  box   47 type 2 -> container 0 pos (21, 11, 7) dims (4, 4, 8)
  box   58 type 2 -> container 0 pos (7, 7, 21) dims (8, 4, 4)
  box   55 type 2 -> container 0 pos (7, 7, 25) dims (8, 4, 4)
  box   62 type 2 -> container 0 pos (0, 11, 26) dims (8, 4, 4)
  box   43 type 2 -> container 0 pos (8, 11, 26) dims (8, 4, 4)
  box   64 type 2 -> container 0 pos (16, 11, 26) dims (8, 4, 4)
  box   27 type 1 -> container 1 pos (0, 0, 0) dims (9, 11, 7)
  box    5 type 1 -> container 1 pos (9, 0, 0) dims (9, 11, 7)
  box   42 type 1 -> container 1 pos (18, 0, 0) dims (7, 11, 9)
  box   36 type 1 -> container 1 pos (0, 0, 7) dims (9, 11, 7)
  box    8 type 1 -> container 1 pos (9, 0, 7) dims (9, 11, 7)
  box   40 type 1 -> container 1 pos (18, 0, 9) dims (7, 11, 9)
  box   65 type 3 -> container 1 pos (0, 11, 0) dims (7, 6, 12)
  box   92 type 3 -> container 1 pos (7, 11, 0) dims (7, 6, 12)
  box   22 type 1 -> container 1 pos (0, 0, 14) dims (9, 11, 7)
  box   67 type 3 -> container 1 pos (14, 11, 0) dims (7, 6, 12)
  box   90 type 3 -> container 1 pos (0, 11, 12) dims (12, 6, 7)
  box   77 type 3 -> container 1 pos (12, 11, 12) dims (12, 6, 7)
  box   28 type 1 -> container 1 pos (9, 0, 14) dims (9, 11, 7)
  box   85 type 3 -> container 1 pos (18, 0, 18) dims (7, 6, 12)
  box   16 type 1 -> container 1 pos (0, 0, 21) dims (7, 11, 9)
  box   37 type 1 -> container 1 pos (7, 0, 21) dims (11, 7, 9)
  box   89 type 3 -> container 1 pos (0, 11, 19) dims (12, 6, 7)
  box   94 type 3 -> container 1 pos (12, 11, 19) dims (12, 6, 7)
  box   49 type 2 -> container 1 pos (21, 11, 0) dims (4, 4, 8)
  box   50 type 2 -> container 1 pos (18, 6, 18) dims (4, 4, 8)
  box   51 type 2 -> container 1 pos (7, 7, 21) dims (8, 4, 4)
  box   61 type 2 -> container 1 pos (7, 7, 25) dims (8, 4, 4)
  box   52 type 2 -> container 1 pos (18, 6, 26) dims (4, 8, 4)
  box   56 type 2 -> container 1 pos (0, 11, 26) dims (8, 4, 4)
  box   63 type 2 -> container 1 pos (8, 11, 26) dims (8, 4, 4)
  box   23 type 1 -> container 2 pos (0, 0, 0) dims (9, 11, 7)
  box   21 type 1 -> container 2 pos (9, 0, 0) dims (9, 11, 7)
  box   11 type 1 -> container 2 pos (18, 0, 0) dims (7, 11, 9)
  box    6 type 1 -> container 2 pos (0, 0, 7) dims (9, 11, 7)
  box   81 type 3 -> container 2 pos (0, 11, 0) dims (7, 6, 12)
  box    1 type 1 -> container 2 pos (9, 0, 7) dims (9, 11, 7)
  box   71 type 3 -> container 2 pos (7, 11, 0) dims (7, 6, 12)
  box   72 type 3 -> container 2 pos (14, 11, 0) dims (7, 6, 12)
  box   14 type 1 -> container 2 pos (18, 0, 9) dims (7, 11, 9)
  box   35 type 1 -> container 2 pos (0, 0, 14) dims (9, 11, 7)
  box   66 type 3 -> container 2 pos (0, 11, 12) dims (12, 6, 7)
  box   29 type 1 -> container 2 pos (9, 0, 14) dims (9, 11, 7)
  box   13 type 1 -> container 2 pos (18, 0, 18) dims (7, 11, 9)
  box   86 type 3 -> container 2 pos (12, 11, 12) dims (12, 6, 7)
  box   76 type 3 -> container 2 pos (0, 11, 19) dims (12, 6, 7)
  box   33 type 1 -> container 2 pos (0, 0, 21) dims (7, 11, 9)
  box   24 type 1 -> container 2 pos (7, 0, 21) dims (11, 7, 9)
  box   80 type 3 -> container 2 pos (12, 11, 19) dims (12, 6, 7)
  box   45 type 2 -> container 2 pos (21, 11, 0) dims (4, 4, 8)
  box   54 type 2 -> container 2 pos (7, 7, 21) dims (8, 4, 4)
  box   53 type 2 -> container 2 pos (7, 7, 25) dims (8, 4, 4)
  box   44 type 2 -> container 2 pos (0, 11, 26) dims (8, 4, 4)
  box   57 type 2 -> container 2 pos (8, 11, 26) dims (8, 4, 4)
  box   48 type 2 -> container 2 pos (16, 11, 26) dims (8, 4, 4)
  box    4 type 1 -> container 3 pos (0, 0, 0) dims (9, 11, 7)
  box   26 type 1 -> container 3 pos (9, 0, 0) dims (9, 11, 7)
  box   91 type 3 -> container 3 pos (18, 0, 0) dims (7, 12, 6)
  box   68 type 3 -> container 3 pos (0, 11, 0) dims (12, 6, 7)
  box   93 type 3 -> container 3 pos (18, 0, 6) dims (7, 12, 6)
  box   20 type 1 -> container 3 pos (0, 0, 7) dims (9, 11, 7)
