============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-R-50.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
SA params: T0=5% of f(S_0), alpha=0.999, T_min=0.001, reheat_threshold=5753, reheat_fraction=0.25
Move weights: {'relocate': 0.0, 'swap': 1.0, '2opt': 0.0, 'promote': 1.5, 'demote': 1.5, 'orient': 1.0, 'container': 0.5}
Time limit: 300.0s per instance, seed 1310488999
======================================================================

======================================================================
ep3-20-C-R-50: 20 boxes (18 types), 1 containers (1 types)
  continuous-knapsack bound: 110921.9
  initial (value-density) decode: value 4142.0 (8/20 boxes)
  T0 = 207.1 (5% of the initial objective)
    [iter 2] *** NEW BEST: value 34587.0, boxes 11/20, T=206.9, elapsed=0.0s
    [iter 5] *** NEW BEST: value 38738.0, boxes 10/20, T=206.3, elapsed=0.0s
    [iter 10] *** NEW BEST: value 46832.0, boxes 10/20, T=205.2, elapsed=0.0s
    [iter 67] *** NEW BEST: value 53406.0, boxes 11/20, T=193.9, elapsed=0.0s
    [iter 131] *** NEW BEST: value 62364.0, boxes 12/20, T=181.8, elapsed=0.0s
    [iter 5884] reheat + diversify: T=51.8, value=53406.0
    [iter 11637] reheat + diversify: T=51.8, value=43827.0
    [iter 17390] reheat + diversify: T=51.8, value=44716.0
    [iter 23143] reheat + diversify: T=51.8, value=44700.0
    [iter 28896] reheat + diversify: T=51.8, value=53406.0
    [iter 34649] reheat + diversify: T=51.8, value=53406.0
    [iter 40402] reheat + diversify: T=51.8, value=53406.0
    [iter 46155] reheat + diversify: T=51.8, value=62364.0
    [iter 51908] reheat + diversify: T=51.8, value=46688.0
    [iter 57661] reheat + diversify: T=51.8, value=62364.0
    [iter 63414] reheat + diversify: T=51.8, value=62364.0
    [iter 69167] reheat + diversify: T=51.8, value=62364.0
    [iter 74920] reheat + diversify: T=51.8, value=62364.0
    [iter 80673] reheat + diversify: T=51.8, value=62364.0
    [iter 86426] reheat + diversify: T=51.8, value=37994.0
    [iter 92179] reheat + diversify: T=51.8, value=53406.0
    [iter 97932] reheat + diversify: T=51.8, value=39982.0
    [iter 103685] reheat + diversify: T=51.8, value=51418.0
    [iter 109438] reheat + diversify: T=51.8, value=44700.0
    [iter 115191] reheat + diversify: T=51.8, value=62364.0
    [iter 120944] reheat + diversify: T=51.8, value=40448.0
    [iter 126697] reheat + diversify: T=51.8, value=62364.0
    [iter 132450] reheat + diversify: T=51.8, value=52907.0
    [iter 138203] reheat + diversify: T=51.8, value=46688.0
    [iter 143956] reheat + diversify: T=51.8, value=39076.0
    [iter 149709] reheat + diversify: T=51.8, value=59625.0
    [iter 155462] reheat + diversify: T=51.8, value=46402.0
    [iter 161215] reheat + diversify: T=51.8, value=59625.0
    [iter 166968] reheat + diversify: T=51.8, value=43827.0
    [iter 172721] reheat + diversify: T=51.8, value=43827.0
    [iter 178474] reheat + diversify: T=51.8, value=46201.0
    [iter 184227] reheat + diversify: T=51.8, value=62364.0
    [iter 189980] reheat + diversify: T=51.8, value=40448.0
    [iter 195733] reheat + diversify: T=51.8, value=62364.0
    [iter 201486] reheat + diversify: T=51.8, value=49482.0
    [iter 207239] reheat + diversify: T=51.8, value=62364.0
